#+TITLE: NATUURKUNDE VWO: OPGAVENPLANNER 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt

| Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
| 8              | IJs; Water; Waterdamp            | Dichtheid; Temperatuur                      | Volume van ijs, water en damp; Krachten tussen moleculen |
| 9              | Kaarsvet                          | Smelten; Warmteoverdracht                   | Drijvende of zinkende kaarsvet; Warmte en energie in de kaarsvet |
| 10             | Dekbed                            | Warmteoverdracht: geleiding, stroming, straling | Warmte-isolatie door dekbed                   |
| 11             | Reageerbuis; Water                | Warmtetransport: geleiding, stroming, straling | Warmtetransport door verschillende materialen |
| 12             | Koelelement; Aluminium            | Warmtegeleiding                             | Vorm en materiaalkeuze voor koelprestaties   |
| 13             | Huid; Lichaam                     | Thermische geleidbaarheid                   | Thermische geleidbaarheid van de huid; Warmteafvoer door zweten |
| 14             | Materiaal; Thermische weerstand  | Warmtegeleiding en weerstand                | Eenheid van thermische weerstand; Warmtestroom door dubbelglas |
| 15             | Raam met enkel glas               | U-waarde; Warmtestroom                      | Totale warmtestroom door ramen; Temperatuurverschil |
| 16             | Zand; Hout                       | Warmtetransport: geleiding, straling        | Temperatuurstijging door zonnestraling       |
| 17             | Asfalt                            | Warmteabsorptie                             | Temperatuurstijging van asfalt per uur       |
| 18             | Lucht; Verwarming                 | Energiebehoefte                             | Hoeveelheid gas nodig om lucht op te warmen   |
| 19             | Glauberzout                       | Soortelijke warmte                          | Warmteafgifte tijdens afkoeling; Soortelijke warmte in vaste fase |
| 20             | Aluminium pan; IJzeren pan        | Soortelijke warmte                          | Energiebehoefte voor opwarming van pannen     |
| 21             | IJs; Water                        | Smelten en warmteoverdracht                 | Warmte nodig om ijs te laten smelten; Eindtemperatuur van water |
| 22             | IJs; Zoutwater                    | Faseverandering; Soortelijke warmte         | Eindtemperatuur van mengsel                  |
| 23             | Thee; Melk                        | Warmteoverdracht                            | Snelheid van afkoeling van vloeistoffen       |
| 24             | Lucht; Druk; Temperatuur          | Algemene gaswet                             | Ontbrekende gegeven in tabel                 |
| 25             | Lucht; Gasvolume; Temperatuur     | Algemene gaswet                             | Massa van 1 mol lucht; Dichtheid van lucht   |
| 27             | Airbag; Stikstof                  | Ideaal gaswet; Chemische reactie            | Gemiddelde snelheid van stikstofvorming     |
| 28             | Fietspomp; Ventiel                | Druk; Volume                                | Druk in de band; Volume van lucht in slang   |
| 29             | Gas; Vat                          | Ideaal gaswet                               | Volume van gas bij verschillende toestanden  |
| 30             | Injectiespuit; Drukmeter          | Ideaal gaswet                               | Volume van lucht in slang en drukmeter      |
| 31             | Helium; Ballon                    | Ideaal gaswet                               | Aantal cilinders nodig voor ballon          |
| 32             | Brug                              | Thermische uitzetting                      | Lineaire uitzettingscoëfficiënt              |
| 33             | Kubus van ijzer; Vloeistoffen      | Uitzettingscoëfficiënt                      | Kubieke uitzettingscoëfficiënt van vaste stoffen |
| 34             | Nylon visdraad, kracht, diameter, lengte   | Wet van Hooke, spanning      | Spanning, uitrekking            |
| 35             | Lift, kabel, massa, lengte, uitrekking     | Wet van Hooke, spanning      | Spanning, diameter van staaldraadje |
| 36             | Twee materialen, draad, massa             | Spanning-rek diagram         | Massa voor plastische vervorming  |
| 37             | Elektriciteitsdraden, houten latjes, massa | Wet van Hooke                | Uitrekking, breeksterkte        |
| 38             | Draden A, B, C, massa                     | Wet van Hooke, rekken        | Oplopende uitrekking            |
| 39             | Aluminium, ijzer, kabels, massa            | Warmtegeleiding, massa       | Diameter kabel, rek, doel ijzeren kern |
| 40             | Stalen ring, karrewiel, massa              | Thermische uitzetting        | Temperatuurverandering, warmte, spanning |
| 41             | Dubbelglas, vacuümglas, pilaartjes, oppervlakte | Warmtegeleiding             | Kracht op pilaartje, aardgasbesparing |

* Hd5
** Hd5.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|------------------------------------------|---------------------------------|-----------------------------------------|
| 1              | Lading, elektronen, deurkruk, tijd        | Wet van Ohm, lading-stroom relatie | Aantal elektronen, gemiddelde stroomsterkte |
| 2              | Lamp, elektrische energie, koperatomen    | Wet van Ohm, energieformule      | Ladingverplaatsing, stroomsterkte, afstand van elektronen |
| 3              | Batterij, spanning, energieverbruik       | Wet van Ohm, energieformule      | Stroomsterkte, gebruiksduur van batterij |
| 4              | Batterijen, zonnepanelen, energieopslag   | Energieformule                   | Stroomsterkte tijdens opladen           |
| 5              | Verchroming, chroom, massa, tijd          | Faraday's wet, elektrische chemie| Aantal chroomatomen, stroomsterkte       |
| 6              | Lamp, meters, verbindingsdraden           | Schakelschema's                  | Correcte aansluiting van draden          |
| 7              | AED, stroomsterkte, spanning, energie     | Wet van Ohm, energieformule      | Gemiddelde stroomsterkte, gemiddelde spanning |
| 8              | Weerstand, voorwerpen                     | Wet van Ohm                      | Weerstand van voorwerp                  |
| 9              | Draden, materiaal, lengte                 | Wet van Ohm                      | Volgorde van weerstand                  |
| 10             | Metaaldraad, spanning, weerstand          | Wet van Ohm                      | Stroomsterkte door enkele en dubbele draad |
| 11             | Hoogspanningskabel, koperdraden, aluminium | Wet van Ohm, weerstand            | Aantal koperdraden, vergelijking van weerstand |
| 12             | Gloeidraad, spanning, weerstand            | Wet van Ohm                      | Weerstand van gloeidraad                 |
| 13             | Gloeidraad, stroomsterkte, spanning        | Wet van Ohm                      | Diameter van gloeidraad                 |
| 14             | Lampjes, spanning, schakeling             | Schakelschema's                  | Correcte aansluiting van lampjes         |
| 15             | Lampjes, spanning, stroomsterkte          | Wet van Ohm, schakelschema's      | Veranderingen in spanning, stroomsterkte, felheid van lampjes |
| 16             | Lampje, batterij, weerstand                | Wet van Ohm                      | Waarde van weerstand, totale weerstand  |
| 17             | Lampje, weerstand, spanning               | Wet van Ohm                      | Weerstand van lampje, totale stroomsterkte, totale weerstand |
| 18             | Weerstanden, parallel schakeling          | Wet van Ohm                      | Waarde van R2                           |
| 19             | Weerstanden, parallel schakeling          | Wet van Ohm                      | Stroomsterktes in weerstanden            |
| 20             | Weerstanden, spanning, stroomsterkte      | Wet van Ohm                      | Verhouding van spanningen               |
| 21             | Weerstanden, serieschakeling, parallelschakeling | Wet van Ohm                   | Vergelijking van totale weerstand        |
| 22             | Weerstanden, gemengde schakeling           | Wet van Ohm                      | Totale weerstand van gemengde schakeling |
| 23             | Weerstanden, lampje, spanning             | Wet van Ohm                      | Stroomsterkte door weerstand 1 en lampje|
| 24             | Weerstanden, lampje, spanning             | Wet van Ohm                      | Spanning over weerstand 2, effect van lampje|
| 25             | Weerstanden, spanningsmeter               | Wet van Ohm                      | Spanning over weerstand 2, geschiktheid van voltmeter |
| 26       | Weerstanden (R1, R2, R3) | Wet van Ohm, Weerstand in serie/parallelschakeling | Totale weerstand van schakelingen, Volgorde van oplopende totale weerstand |
| 27a      | Weerstanden (R1, R2, R3), Spanningsbronnen | Wet van Ohm, Serie- en parallelschakelingen | Grootste stroom door weerstand 2 |
| 27b      | Weerstanden (R1, R2, R3) | Wet van Ohm, Serie- en parallelschakelingen | Verandering in stroomsterkte uit de batterij |
| 28a      | Batterij, Weerstand (R1), Ampèremeter, Regelbare weerstand | Wet van Ohm | Weerstand R1 berekenen |
| 28b      | Batterij, Weerstand (R1), Ampèremeter, Regelbare weerstand | Wet van Ohm | Batterijspanning (Ubat) berekenen |
| 29a      | LED, Weerstand (50 Ω) | Wet van Ohm | Doorlaatspanning van de LED verklaren |
| 29b      | LED, Weerstand (50 Ω), Spanningsbron | Wet van Ohm | Spanning van de spanningsbron bij 100 mA |
| 29c      | LED, Weerstand (50 Ω) | Weerstand bij verschillende stroomsterkte | Verandering in weerstand van de LED bij toenemende spanning |
| 30a      | NTC, Weerstand (R1) | Wet van Ohm, Weerstandsverandering met temperatuur | Verandering van stroomsterkte bij stijgende temperatuur |
| 30b      | NTC, Weerstand (R1), Bronspanning | Wet van Ohm | Formule voor spanning over de NTC afleiden |
| 30c      | NTC, Weerstand (R1), Temperatuurdata | Gevoeligheidsformule | Gemiddelde gevoeligheid tussen 20 °C en 40 °C |
| 30d      | NTC, Weerstand (R1), Stroomsterkte | Wet van Ohm | Voldoen aan stroombeperkingen (max. 7,5 mA) |
| 30e      | NTC | Warmteontwikkeling, Beschadiging door opwarming | Argumenten tegen oververhitting van de NTC |
| 31a      | LDR, Lamp | Weerstand en lichtsterkte relatie | Weerstand van LDR bij verschillende lichtsterktes |
| 31b      | LDR, Weerstand (220 Ω) | Spanning over weerstand | Logica van het gebruik van spanning over weerstand als signaal |
| 31c      | LDR, Spanningsmeter, Lamp | Lichtsterkte en weerstand | Afstand van de lamp tot de LDR bij 2,3 V |
| 32a      | Gelijkrichter, Weerstand, Dioden | Wisselspanning naar gelijkspanning conversie | Dioden die geleiden tussen 0 en 0,01 s |
| 32b      | Gelijkrichter, Weerstand, Dioden | Stroomrichting door weerstand | Richting van elektrische stroom tussen 0 en 0,01 s |
| 32c      | Gelijkrichter, Weerstand, Dioden | Stroomrichting door weerstand | Richting van elektrische stroom tussen 0,01 en 0,02 s |
| 32d      | Gelijkrichter, Weerstand, Wisselspanning | Spanning over weerstand als functie van tijd | Spanning over weerstand als functie van tijd |
| 33a      | LDR’s, Spanningsmeter | Weerstand van LDR’s bij gelijke lichtsterkte | Weerstand gelijk bij gelijke lichtinval |
| 33b      | LDR, Verlichtingssterkte | Weerstand van LDR bij verschillende lichtsterktes | Verlichtingssterkte van 40·10^3 lux berekenen |
| 33c      | LDR’s, Spanningsmeter, Weerstand | Spanning over weerstand bij verlichtingssterkte | Spanning over weerstand 2 bij verlichtingssterkte |
| 34       | Energiecentrales | Energieopwekking | Voordelen en nadelen van energiecentrales |
