#+TITLE: NATUURKUNDE HAVO: DEFINITIES
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


* Hd1
| **Term**                          | **Definitie**                                                                                                        |
| Tweede wet van Newton                 | De versnelling van een object is recht evenredig met de resulterende kracht die erop wordt uitgeoefend en omgekeerd evenredig met de massa van het object. |
| Resulterende kracht                   | De kracht die op een object wordt uitgeoefend, die een verandering in de snelheid van het object veroorzaakt.    |
| Snelheidsverandering                  | De mate waarin de snelheid van een object verandert, bepaald door de resulterende kracht die erop werkt.         |
| Verband resulterende kracht en versnelling | De versnelling van een object is recht evenredig met de resulterende kracht die erop werkt.                     |
| Verband resulterende kracht en massa  | De versnelling van een object is omgekeerd evenredig met de massa van het object volgens de tweede wet van Newton. |
| Wrijving                              | De kracht die ontstaat wanneer twee oppervlakken tegen elkaar wrijven, waardoor beweging wordt belemmerd.        |
| Valbeweging                           | De beweging van een object onder invloed van de zwaartekracht.                                                     |
| Luchtweerstand                        | De wrijving die ontstaat tussen een object en de lucht tijdens beweging door de atmosfeer.                        |
| Momenten                              | De krachten die resulteren in een draaiende beweging rond een vast punt.                                          |
| Hefboomwet                            | De wet die stelt dat het moment rond een draaipunt gelijk is aan de kracht toegepast op de hefboom vermenigvuldigd met de arm. |
| Hefbomen                              | Mechanismen die bestaan uit een stijve stang die rond een vast punt draait, waardoor krachten worden vermenigvuldigd of gereduceerd. |
| Momenten in evenwicht                 | Wanneer de som van de momenten rond een draaipunt nul is, is het systeem in evenwicht.                           |
| Zwaartepunt                           | Het punt waar de totale massa van een object geconcentreerd lijkt te zijn, en waar de zwaartekracht kan worden gemodelleerd als een enkele puntlast. |


* Hd5


| **Term**                    | **Definitie**                                                                                                        |
|-----------------------------|----------------------------------------------------------------------------------------------------------------------|
| **Het molecuulmodel**       | Een model dat de structuur en het gedrag van materie beschrijft op basis van de bewegingen en interacties van individuele moleculen. |
| **Molecuulmodel**           | Een representatie van de opbouw en de onderlinge interacties van moleculen binnen een stof.                           |
| **Temperatuur**             | Een maat voor de gemiddelde kinetische energie van de deeltjes in een systeem.                                        |
| **Warmte**                  | De vorm van energieoverdracht tussen systemen of objecten als gevolg van temperatuurverschillen.                      |
| **Fasen van een stof**      | De verschillende toestanden waarin een stof kan verkeren, zoals vast, vloeibaar en gasvormig.                        |
| **Faseovergangen**          | De veranderingen in de fase van een stof, zoals smelten, verdampen en condenseren.                                    |
| **Temperatuurschaal**       | Een schaalverdeling die wordt gebruikt om temperaturen te meten en uit te drukken, zoals Celsius of Kelvin.           |
| **Transport van warmte**    | De processen waardoor warmte wordt overgedragen tussen systemen of objecten.                                         |
| **Warmtegeleiding**         | Het proces waarbij warmte wordt overgedragen door direct contact tussen de deeltjes van een materiaal.                |
| **Warmtestroming**          | Het proces waarbij warmte wordt overgedragen door de beweging van vloeistoffen of gassen.                             |
| **Warmtestraling**          | Het proces waarbij warmte wordt overgedragen door elektromagnetische golven, zoals infraroodstraling.                 |
| **Soortelijke warmte**      | De hoeveelheid warmte die nodig is om de temperatuur van eenheid massa van een stof met één graad Celsius te verhogen. |
| **Joulemeter**              | Een instrument dat wordt gebruikt om de hoeveelheid warmte die vrijkomt of wordt geabsorbeerd bij een proces te meten. |
| **Warmtestroom**            | De hoeveelheid warmte die per tijdseenheid door een materiaal of systeem wordt overgedragen.                          |
| **Thermische geleidbaarheid** | Een maat voor het vermogen van een materiaal om warmte te geleiden.                                                   |
| **Isolatie**                | Materialen of structuren die worden gebruikt om warmteoverdracht te verminderen, waardoor warmteverlies wordt beperkt of warmte wordt vastgehouden. |
| **Functionele materialen**  | Materialen die specifieke eigenschappen hebben die hen geschikt maken voor bepaalde toepassingen.                    |
| **Materiaalkunde**          | Een vakgebied dat zich bezighoudt met het bestuderen van de eigenschappen, structuur en toepassingen van materialen.   |
| **Metalen**                 | Materialen die over het algemeen goede geleiders zijn van warmte en elektriciteit, en die vaak worden gebruikt vanwege hun mechanische eigenschappen. |
| **Keramische materialen**   | Materialen die zijn samengesteld uit anorganische verbindingen en die vaak worden gekenmerkt door hun hardheid, hittebestendigheid en elektrische isolatie. |
| **Polymeren**               | Materialen die zijn samengesteld uit lange ketens van moleculen en die vaak worden gebruikt vanwege hun flexibiliteit, lage dichtheid en isolerende eigenschappen. |
| **Composieten**             | Materialen die zijn samengesteld uit twee of meer verschillende materialen met verschillende eigenschappen, om zo synergetische eigenschappen te verkrijgen. |
| **Smart materialen**        | Materialen die hun eigenschappen kunnen aanpassen in reactie op externe stimuli, zoals temperatuur, licht of elektrische velden. |
| **Duurzaamheid**            | De eigenschap van materialen om langdurig te functioneren met minimale invloed op het milieu, vaak gericht op hergebruik, recycling en verminderde afvalproductie. |

* Hd6


| **Term**                                    | **Definitie**                                                                                                          |
|---------------------------------------------|------------------------------------------------------------------------------------------------------------------------|
| **Stroomkring**                             | Een gesloten pad waarlangs elektrische stroom kan vloeien, bestaande uit een bron van elektrische energie, geleidende draden en elektrische componenten. |
| **Lading**                                  | Een fundamentele eigenschap van materie, die aangeeft hoeveel elektrische energie een object draagt.                     |
| **Stroom**                                  | De beweging van elektrische lading, meestal in de vorm van elektronen, door een geleidend materiaal.                    |
| **Stroomsterkte**                           | De mate van elektrische stroom, uitgedrukt in ampère (A), die door een bepaald punt in een stroomkring vloeit.          |
| **Spanningsbronnen**                        | Apparaten die elektrische energie leveren en een potentiaalverschil creëren tussen twee punten.                         |
| **Spanning**                                | Het potentiaalverschil tussen twee punten in een elektrisch circuit, gemeten in volt (V).                                |
| **Weerstand**                               | De eigenschap van een materiaal om de stroom van elektrische lading te belemmeren.                                       |
| **Geleidbaarheid**                         | De mate waarin een materiaal elektrische stroom kan geleiden.                                                           |
| **Weerstand van materiaal**                 | De mate waarin een materiaal de stroom van elektrische lading beperkt.                                                   |
| **Wet van Ohm**                             | De wet die de relatie beschrijft tussen spanning, stroomsterkte en weerstand in een elektrisch circuit.                  |
| **Elektrische energie**                    | Energie die wordt overgedragen door elektrische ladingen in een elektrisch circuit.                                      |
| **Vermogen**                                | De snelheid waarmee elektrische energie wordt overgedragen, uitgedrukt in watt (W).                                     |
| **Rendement**                               | De verhouding tussen de nuttige output en de totale input van een energieomzetting.                                     |
| **Weerstanden**                            | Componenten die de stroom van elektrische lading beperken in een elektrisch circuit.                                     |
| **Schakeling**                             | Een combinatie van elektrische componenten die zijn verbonden om een bepaalde functie uit te voeren.                     |
| **Serieschakeling**                        | Een schakeling waarin de componenten achter elkaar zijn geschakeld en dezelfde stroom doorlopen.                         |
| **Parallelschakeling**                     | Een schakeling waarin de componenten naast elkaar zijn geschakeld en hetzelfde spanningsverschil ervaren.               |
| **Parallel-serieschakeling**                | Een combinatie van serieschakelingen en parallelschakelingen.                                                            |
| **Gemengde schakeling**                     | Een complexe schakeling die zowel serieschakelingen als parallelschakelingen bevat.                                     |
| **Elektrische componenten**                 | Apparaten die worden gebruikt in elektrische schakelingen voor verschillende doeleinden.                                |
| **NTC temperatuurgevoelige weerstand**      | Een weerstand waarvan de weerstandswaarde afneemt naarmate de temperatuur stijgt.                                        |
| **Lichtgevoelige weerstand**                | Een weerstand waarvan de weerstandswaarde verandert afhankelijk van de hoeveelheid licht waaraan het is blootgesteld.  |
| **Diode**                                   | Een halfgeleiderapparaat dat elektrische stroom toestaat in één richting.                                               |
| **LED**                                     | Een lichtgevende diode die licht produceert wanneer er elektrische stroom doorheen gaat.                                |
| **Regelbare weerstand**                     | Een weerstand waarvan de weerstandswaarde handmatig kan worden aangepast.                                               |
| **Transformator**                          | Een elektrisch apparaat dat spanningen en stromen transformeert tussen twee verschillende circuits via elektromagnetische inductie. |
| **Opwekking van elektrische energie**       | Het proces waarbij elektrische energie wordt geproduceerd uit andere vormen van energie.                                |
| **Transport van elektrische energie**       | Het proces waarbij elektrische energie wordt overgedragen van de ene locatie naar de andere.                             |
| **Elektrochemische cel**                    | Een apparaat dat chemische energie omzet in elektrische energie.                                                        |
| **Elektriciteitscentrale**                  | Een faciliteit die elektrische energie produceert uit verschillende energiebronnen.                                     |
| **Zonnecel**                                | Een apparaat dat zonne-energie omzet in elektrische energie via het fotovoltaïsche effect.                              |
| **Energiedichtheid**                        | De hoeveelheid energie die per volumeof massa-eenheid wordt opgeslagen in een bepaald materiaal.                         |
| **Bedrading**                               | Draden die worden gebruikt om elektrische circuits aan te leggen en elektrische componenten met elkaar te verbinden.    |
| **Stopcontact**                             | Een elektrisch apparaat waarmee elektrische apparaten op een elektrisch circuit kunnen worden aangesloten.               |
| **Aarding**                                 | Een veiligheidsmaatregel die elektrische installaties verbindt met de aarde om elektrische schokken te voorkomen.        |
| **Kortsluiting**                            | Een ongewenste verbinding tussen twee punten met verschillende potentiaal in een elektrisch circuit.                    |
| **Beveiliging**                             | Maatregelen of apparaten die worden gebruikt om elektrische installaties en apparatuur te beschermen tegen schade.      |
| **Zekeringen**                              | Apparaten die elektrische stroom onderbreken bij overbelasting of kortsluiting om schade te voorkomen.                   |
| **Aardlekschakelaar**                       | Een apparaat dat elektrische circuits uitschakelt bij lekstroom om de veiligheid van gebruikers te waarborgen.            |


* Hd8


| **Term**                              | **Definitie**                                                                                          |
|---------------------------------------|--------------------------------------------------------------------------------------------------------|
| **Arbeid**                            | De hoeveelheid energie die wordt overgedragen wanneer een kracht wordt toegepast over een afstand.   |
| **Krachten**                          | Fysieke interacties die de beweging of de vorm van een object veranderen.                             |
| **Kinetische energie**                | De energie die een object bezit vanwege zijn beweging.                                                 |
| **Wet van arbeid en kinetische energie** | De wet die stelt dat de arbeid die wordt verricht op een object gelijk is aan de verandering in kinetische energie van dat object. |
| **Vermogen**                          | De snelheid waarmee arbeid wordt verricht, of de hoeveelheid energie die per tijdseenheid wordt overgedragen. |
| **Energievormen**                    | Verschillende vormen waarin energie kan voorkomen.                                                     |
| **Zwaarte-energie**                   | De energie die wordt opgeslagen in een object als gevolg van zijn positie in een zwaartekrachtsveld.    |
| **Chemische energie**                 | De energie die opgeslagen is in de chemische bindingen van een stof.                                   |
| **Warmte**                            | De vorm van energie die wordt overgedragen als gevolg van temperatuurverschillen.                      |
| **Wet van behoud van energie**        | De wet die stelt dat energie niet kan worden gecreëerd of vernietigd, alleen omgezet van de ene vorm naar de andere. |
| **Energiebalans**                     | De balans tussen de energie die een systeem binnenkomt en verlaat, volgens de wet van behoud van energie. |


* Hd9

| **Term**                                | **Definitie**                                                                                                      |
|-----------------------------------------|--------------------------------------------------------------------------------------------------------------------|
| **Trillingen**                          | Periodieke bewegingen rond een evenwichtspositie.                                                                 |
| **Periodieke beweging**                 | Een beweging die zich herhaalt in regelmatige intervallen.                                                          |
| **Amplitude**                           | De maximale afwijking van een trillende beweging vanaf de evenwichtspositie.                                      |
| **Harmonische trilling**                | Een type trilling waarbij de versnelling van het object evenredig is met de afstand tot de evenwichtspositie, zoals bij een massaveersysteem. |
| **Massaveersysteem**                    | Een systeem bestaande uit een massa die aan een veer is bevestigd, waarbij de massa heen en weer beweegt rond een evenwichtspositie. |
| **Trillingstijd**                       | De tijd die nodig is voor een complete cyclus van een harmonische trilling.                                        |
| **Resonantie**                          | Het fenomeen waarbij een systeem wordt gestimuleerd om te trillen met een specifieke frequentie als gevolg van een externe trilling met dezelfde frequentie. |
| **Lopende golven**                      | Golven die zich voortplanten door een medium, zoals geluidsgolven.                                                  |
| **Golven**                              | Verplaatsingen van energie die zich door een medium of lege ruimte voortplanten.                                    |
| **Transversale golven**                 | Golven waarbij deeltjes van het medium loodrecht op de richting van golfvoortplanting bewegen.                     |
| **Longitudinale golven**                | Golven waarbij deeltjes van het medium parallel aan de richting van golfvoortplanting bewegen.                      |
| **Golflengte**                          | De afstand tussen twee opeenvolgende punten met dezelfde fase in een golf.                                         |
| **Golfsnelheid**                        | De snelheid waarmee een golf zich voortplant door een medium.                                                       |
| **Trillingstijd**                       | De tijd die nodig is voor één volledige trilling of oscillatie van een deeltje in een golf.                        |
| **Geluid**                              | Trillingen die zich door een medium voortplanten en hoorbaar zijn voor mensen.                                      |
| **Informatieoverdracht**                | Het proces waarbij geluidsgolven gebruikt worden om informatie te verzenden.                                        |
| **Geluidsbronnen**                      | Objecten of gebeurtenissen die geluid produceren.                                                                  |
| **Golfsuperpositie**                    | Het fenomeen waarbij twee of meer golven samenkomen en tijdelijk hun amplitude kunnen versterken of verzwakken.    |
| **Muziekinstrumenten**                  | Apparaten die geluid produceren en gebruikt worden om muziek te maken.                                             |
| **Snaarinstrumenten**                   | Muziekinstrumenten waarbij geluid wordt geproduceerd door het trillen van snaren.                                  |
| **Toonvorming in een snaar**            | Het proces waarbij een snaar trilt en geluid produceert door resonantie.                                           |
| **Blaasinstrumenten**                   | Muziekinstrumenten waarbij geluid wordt geproduceerd door het trillen van lucht in een buis.                         |
| **Toonvorming in een buis**             | Het proces waarbij een luchtkolom in een buis trilt en geluid produceert door resonantie.                          |


* Hd10



| **Term**                          | **Definitie**                                                                                                  |
|-----------------------------------|--------------------------------------------------------------------------------------------------------------|
| **Echografie**                    | Een medische beeldvormingstechniek die geluidsgolven gebruikt om afbeeldingen van structuren in het lichaam te produceren. |
| **MRI**                           | Een medische beeldvormingstechniek die magnetische velden en radiogolven gebruikt om gedetailleerde afbeeldingen van de interne structuren van het lichaam te maken. |
| **Elektromagnetische golven**      | Golven die bestaan uit elektrische en magnetische velden die zich door de ruimte voortplanten.               |
| **Röntgenfoto**                   | Een medische beeldvormingstechniek die röntgenstraling gebruikt om afbeeldingen van interne structuren van het lichaam te maken. |
| **Halveringsdikte**                | De dikte van een materiaal die nodig is om de intensiteit van een stralingsbundel te halveren.                |
| **CT-scan**                       | Een medische beeldvormingstechniek die een reeks röntgenstralen gebruikt om gedetailleerde dwarsdoorsnedebeelden van het lichaam te maken. |
| **Kernstraling**                  | Straling die afkomstig is van de kern van een atoom.                                                          |
| **Stralingsbronnen**              | Bronnen die radioactieve materialen bevatten en straling produceren.                                         |
| **Atoombouw**                     | De structuur en samenstelling van atomen, inclusief hun kernen en elektronenschillen.                        |
| **Vervalvergelijking**            | Een wiskundige vergelijking die het verval van radioactieve isotopen beschrijft.                              |
| **Dracht en doordringend vermogen** | De afstand die een stralingsdeeltje in een bepaald materiaal kan afleggen voordat het stopt en het vermogen van straling om door materialen te dringen. |
| **Scintigrafie**                  | Een medische beeldvormingstechniek die gebruikmaakt van radioactieve tracers om de functie van interne organen te onderzoeken. |
| **Halveringstijd**                | De tijd die nodig is voor de helft van de atomen in een radioactief monster om te vervallen.                  |
| **Activiteit**                    | De snelheid waarmee radioactieve isotopen vervallen, uitgedrukt in het aantal vervallen kernen per seconde.   |
| **Ioniserende straling**          | Straling die voldoende energie heeft om elektronen uit atomen te verwijderen en ionisatie te veroorzaken.      |
| **Bestraling en besmetting**      | Blootstelling aan ioniserende straling van buitenaf (bestraling) of het inwendige van het lichaam (besmetting). |
| **Stralingsdosis**                | De hoeveelheid energie die door straling aan een materiaal wordt overgedragen.                               |
| **Effectieve dosis**              | Een maat voor de schadelijkheid van straling voor levend weefsel, rekening houdend met de soort straling en de gevoeligheid van verschillende organen. |
| **Stralingsnormen**               | Wettelijke limieten die de maximale blootstelling aan ioniserende straling reguleren.                        |
| **Radiotherapie**                 | Een medische behandeling waarbij ioniserende straling wordt gebruikt om kanker te behandelen.                 |
| **Dosimeter**                     | Een apparaat dat de hoeveelheid straling meet waaraan een persoon is blootgesteld.                           |
| **Geiger-Müllerteller**            | Een instrument dat wordt gebruikt om ioniserende straling te detecteren en te meten, vaak gebruikt voor stralingsmonitoring en -detectie. |



* Hd11



| **Term**                                | **Definitie**                                                                                                    |
|-----------------------------------------|------------------------------------------------------------------------------------------------------------------|
| **Zonnestelsel**                       | Het geheel van de Zon, planeten, manen, en andere hemellichamen die door de zwaartekracht aan elkaar gebonden zijn. |
| **Planeten**                           | Grote hemellichamen die in een baan om een ster bewegen en geen licht van zichzelf uitstralen.                  |
| **Manen**                              | Natuurlijke satellieten die in een baan om een planeet bewegen.                                                  |
| **Hemellichamen**                      | Objecten in de ruimte, zoals planeten, sterren en manen.                                                         |
| **Beweging van de aarde**               | De periodieke rotatie om haar eigen as en de omloop om de Zon.                                                   |
| **Beweging van de maan**                | De omloop van de maan rond de aarde.                                                                             |
| **Zonsverduistering**                  | Een verschijnsel waarbij de maan tussen de aarde en de zon komt, waardoor de zon tijdelijk niet zichtbaar is.    |
| **Maansverduistering**                 | Een verschijnsel waarbij de aarde tussen de zon en de maan komt, waardoor de maan tijdelijk donkerder lijkt.     |
| **Geocentrisch**                       | Het model waarin de aarde als het centrum van het universum wordt beschouwd.                                      |
| **Heliocentrisch**                    | Het model waarin de zon als het centrum van het zonnestelsel wordt beschouwd.                                     |
| **Eenparige cirkelbeweging**           | Een beweging waarbij een object zich met constante snelheid in een cirkelvormig pad voortbeweegt.                |
| **Omlooptijd**                         | De tijd die nodig is voor een object om één volledige cirkelbeweging uit te voeren.                              |
| **Baansnelheid**                       | De snelheid waarmee een object zich beweegt langs zijn baan in een cirkelbeweging.                               |
| **Middelpuntzoekende kracht**          | De kracht die ervoor zorgt dat een object in een cirkelbeweging naar het middelpunt van die cirkel wordt getrokken. |
| **Gravitatiekracht**                   | De kracht van aantrekking tussen massa's in het universum.                                                         |
| **Gravitatiewet van Newton**           | De wet die de zwaartekracht beschrijft als een kracht die twee massa's op elkaar uitoefenen, evenredig met hun massa's en omgekeerd evenredig met het kwadraat van de afstand tussen hen. |
| **Valversnelling**                     | De versnelling waarmee een object valt onder invloed van de zwaartekracht.                                      |
| **Beweging van planeten**              | De banen die planeten volgen onder invloed van de zwaartekracht van de zon.                                      |
| **Geostationaire satellieten**         | Satellieten die zich op een hoogte bevinden waarbij hun omlooptijd gelijk is aan de draaiperiode van de aarde, waardoor ze op dezelfde positie boven het aardoppervlak lijken te blijven. |
| **Polaire satellieten**                | Satellieten die in een baan om de aarde bewegen met een inclinatie ten opzichte van de evenaar.                   |
| **Sterrenstelsels**                   | Grote systemen van sterren, gas en stof, gebonden door zwaartekracht.                                            |
| **Afstanden in het heelal**            | De enorme schalen waarop afstanden worden gemeten tussen hemellichamen in het universum.                        |
| **Uitdijend heelal**                  | Het concept dat het universum zich in alle richtingen uitbreidt.                                                 |
| **Verschuiving wet van Wien**          | Een verschijnsel waarbij de golflengte van het uitgestraalde licht van een object verschuift naar het rood of blauw uiteinde van het spectrum als gevolg van respectievelijk een beweging van de lichtbron naar de waarnemer toe of van de waarnemer af. |
| **Elektromagnetisch spectrum**         | Het volledige scala aan elektromagnetische golven, variërend van radiostraling tot gammastraling.                |
| **Telescopen**                         | Instrumenten waarmee verre objecten in de ruimte kunnen worden waargenomen.                                      |
| **Ruimtetelescopen**                   | Telescopen die in de ruimte zijn geplaatst om de effecten van de aardse atmosfeer te vermijden.                   |


* Hd12


| **Term**                           | **Definitie**                                                                                                    |
|------------------------------------|------------------------------------------------------------------------------------------------------------------|
| **Voorplanting van licht**         | Het proces waarbij licht zich voortplant door de ruimte of een medium.                                           |
| **Lichtbundels**                   | Bundels van lichtstralen die zich voortbewegen in een bepaalde richting.                                        |
| **Optische eigenschappen**         | Eigenschappen van materialen of systemen die invloed hebben op de interactie met licht, zoals brekingsindex en transparantie. |
| **Schaduwvorming**                 | Het fenomeen waarbij een object het licht blokkeert, waardoor er een donker gebied ontstaat achter het object.   |
| **Weerkaatsing van licht**          | Het proces waarbij lichtstralen terugkaatsen van een oppervlak.                                                   |
| **Absorptie van licht**            | Het proces waarbij lichtenergie wordt geabsorbeerd door een materiaal en omgezet in andere vormen van energie.   |
| **Breking van licht**              | Het fenomeen waarbij lichtstralen van richting veranderen wanneer ze een grens tussen twee verschillende media passeren. |
| **Breking van lichtstralen**        | Het buigen van lichtstralen wanneer ze van het ene medium naar het andere gaan.                                 |
| **Totale terugkaatsing**           | Een verschijnsel waarbij licht dat een grens tussen twee media raakt, volledig wordt teruggekaatst in plaats van gebroken. |
| **Glasvezelkabel**                 | Een transmissiemedium voor lichtsignalen, bestaande uit lange, dunne strengen glas die lichtgeleiding mogelijk maken. |
| **Lenzen**                         | Optische componenten die lichtstralen buigen om beelden te vormen.                                              |
| **Positieve lenzen**               | Lenzen die lichtstralen convergeren en beelden vergroten.                                                        |
| **Negatieve lenzen**               | Lenzen die lichtstralen divergeren en beelden verkleinen.                                                        |
| **Breking door positieve lens**     | Het proces waarbij lichtstralen gebogen worden bij het passeren van een positieve lens.                          |
| **Brandpunt**                      | Het punt waar lichtstralen die door een lens zijn gebogen samenkomen of lijken samen te komen.                   |
| **Bijas**                          | De denkbeeldige lijn die loodrecht door het midden van een lens loopt.                                           |
| **Brandvlak**                      | Het vlak waarin het brandpunt zich bevindt na breking door een lens.                                             |
