#+TITLE: NATUURKUNDE VWO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


* Hd1
** Hd1.txt

| # | Vraag                                                                                   | Antwoord                                               |
| 15              | Wat is het belang van eenheden afstemmen bij het uitvoeren van berekeningen?                 | Het afstemmen van eenheden zorgt ervoor dat de berekeningen correct zijn en consistent blijven. |
| 16              | Hoe schrijf je een getal met een negatieve macht van tien in wetenschappelijke notatie?       | Je schrijft het als een getal tussen 1 en 10, vermenigvuldigd met 10 tot een negatieve macht. |
| 17              | Wat is de eenheid voor lichtsterkte in het SI-systeem?                                      | De eenheid voor lichtsterkte is candela (cd).            |
| 18              | Wat is de afgeleide eenheid voor oppervlakte?                                                | De afgeleide eenheid voor oppervlakte is vierkante meter (m²). |
| 19              | Wat is de rol van BINAS tabellen in natuurkunde?                                             | BINAS tabellen bieden formules, eenheden en constanten die nodig zijn voor natuurkunde en wiskunde. |
| 20              | Wat is de eenheid van druk in de basiseenheden van het SI? | \( \text{Pa} = \text{kg} \cdot \text{m}^{-1} \cdot \text{s}^{-2} \) |
| 21              | Hoe reken je van km/h naar m/s om? | Deel door 3.6. |
| 22              | Wat is de eenheid van de soortelijke warmte in SI-eenheden? | \( \text{J} \cdot \text{kg}^{-1} \cdot \text{K}^{-1} \) |
| 23              | Hoe reken je van hPa naar Pa om? | Vermenigvuldig met 100. |
| 24              | Hoe bereken je de massa van een gas in een ballon met gegeven dichtheid? | Vermenigvuldig het volume met de dichtheid. |
| 25              | Hoeveel significante cijfers heeft het getal 0.00456? | Drie significante cijfers. |
| 26              | Hoe reken je km om naar m? | Vermenigvuldig met 1000. |
| 27              | Hoeveel cijfers achter de komma moet je behouden bij optellen? | Het aantal cijfers achter de komma van de meetwaarde met de minste cijfers achter de komma. |
| 28              | Hoe reken je van m/s om naar km/h? | Vermenigvuldig met 3.6. |
| 29              | Wat is de eenheid van de veerconstante in SI-eenheden? | \( \text{N} \cdot \text{m}^{-1} \) |
| 30              | Hoeveel significante cijfers heeft de meting 25.000? | Vijf significante cijfers (aangenomen dat de nullen achter de komma relevant zijn). |
| 31              | Hoe reken je van mL naar L om? | Deel door 1000. |
| 32              | Wat is de omrekeningsfactor van km/h naar m/s? | \( \frac{1}{3.6} \) |
| 33              | Hoeveel significante cijfers heeft het getal 123? | Drie significante cijfers. |
| 34              | Hoe reken je van m naar km om? | Deel door 1000. |
| 35              | Wat moet je doen met meetwaarden voordat je ze in een tabel noteert? | Je moet de metingen uitvoeren en de uitkomsten in het juiste aantal significante cijfers noteren.  |
| 36              | Hoe zet je meetwaarden om naar wetenschappelijke notatie? | Reken om naar wetenschappelijke notatie door de getallen te herschrijven in de vorm van \( a \times 10^b \).   |
| 37              | Hoe bereken je het volume van een blok hout als je de massa en afmetingen hebt? | Gebruik de afmetingen om het volume te berekenen en vergelijk dit met de opgegeven waarde.  |
| 38              | Hoe bepaal je de dichtheid van een blok hout? | Deel de massa van het blok door het volume om de dichtheid in kg/m³ te berekenen.            |
| 39              | Wat zijn de eisen voor tabellen in natuurkundig onderzoek? | Tabellen moeten een kop hebben met grootheid en eenheid, meetwaarden moeten in kolommen staan, en cijfers moeten op dezelfde decimalen worden weergegeven. |
| 40              | Wat is een belangrijke eigenschap van een goed diagram? | De assen moeten loodrecht op elkaar staan, met een duidelijke schaalverdeling en pijlen met eenheid. |
| 41              | Wat betekent interpoleren in een diagram? | Interpoleren is het bepalen van waarden binnen het bereik van de gemeten gegevens door de grafieklijn te gebruiken. |
| 42              | Wat betekent extrapoleren in een diagram? | Extrapoleren is het schatten van waarden buiten het bereik van de gemeten gegevens door de grafieklijn door te trekken. |
| 43              | Wat is een lineair verband in een grafiek? | Een lineair verband heeft een rechte lijn op de grafiek, waarbij de grafieklijn door de oorsprong gaat. |
| 44              | Hoe bepaal je de evenredigheidsconstante uit een lineaire grafiek? | De evenredigheidsconstante is de richtingscoëfficiënt van de grafieklijn.  |
| 45              | Hoe kun je de constante a in een kwadratisch verband bepalen? | Bepaal de waarde van a door de gegevens in de tabel en de grafieklijn te gebruiken om de kwadratische relatie te vinden. |
| 46              | Wat is het verschil tussen een recht evenredig en een kwadratisch verband? | In een recht evenredig verband is de grafieklijn recht en gaat door de oorsprong; in een kwadratisch verband is de grafieklijn een kromme die een parabool vormt. |
| 47              | Hoe controleer je of een grafiek door de oorsprong gaat? | Controleer of de grafieklijn het punt (0,0) snijdt.                                          |
| 48              | Wat is een omgekeerd kwadratisch verband? | Een omgekeerd kwadratisch verband heeft een grafieklijn die een hyperbool vormt, waarbij de grootheden omgekeerd evenredig zijn. |
| 49              | Hoe bepaal je de weerstand uit een grafiek voor een ohmse weerstand? | De grafieklijn moet een rechte lijn door de oorsprong zijn; de weerstand is de helling van deze lijn. |
| 50              | Hoe bepaal je de meetonzekerheid voor een weerstand? | Bepaal de meetonzekerheid door het verschil te nemen tussen de gemiddelde waarde en uiterste waarden. |
| 51              | Hoe wordt de evenredigheidsconstante in een wortelverband bepaald? | Gebruik de grafieklijn en bepaal de constante door de verhouding van de grootheden te analyseren, waarbij een wortelfunctie wordt toegepast. |
| 52              | Wat is een kwadratisch evenredig verband? | Het is een verband waarbij de grafiek een kromme lijn is en de waarden op de horizontale as worden aangepast door de waarde in het kwadraat te nemen. |
| 53              | Hoe zet je een kromme grafieklijn van een kwadratisch evenredig verband om in een rechte lijn? | Zet de waarde op de horizontale as om naar de waarde in het kwadraat (x²). |
| 54              | Wat is een omgekeerd evenredig verband? | Een verband waarbij de ene grootheid toeneemt terwijl de andere afneemt, en de grafiek een hyperbool is. |
| 55              | Hoe zet je een kromme grafieklijn van een omgekeerd evenredig verband om in een rechte lijn? | Zet de waarde op de horizontale as om naar 1/x. |
| 56              | Wat betekent wortelverband? | Het is een verband waarbij de grafiek een rechte lijn is als je de waarde op de horizontale as omzet naar de wortel van die waarde. |
| 57              | Hoe bepaal je de evenredigheidsconstante uit een grafiek met een wortelverband? | Bepaal het rechte lijnverband en lees de constante af als de helling van de lijn. |
| 58              | Hoe kun je een diagram met een kromme lijn omzetten in een diagram met een rechte lijn? | Pas de grootheden aan volgens de tabel die het type verband aangeeft. |
| 59              | Wat moet je doen als de meetpunten een kromme lijn suggereren? | Het is moeilijker om de juiste grafiek te tekenen; je moet mogelijk de grafiek aanpassen door de grootheden te transformeren. |
| 60              | Hoe bepaal je de parameter a voor een rechte lijn in een grafiek? | Kies een geschikt punt op de grafieklijn en gebruik de formule T = aV om a te vinden. |
| 61              | Wat geeft de constante c aan in een grafiek van een wortelverband? | De waarde van de constante c is de waarde van de helling van de rechte lijn in de grafiek. |
| 62              | Hoe bepaal je de snelheid van een auto met een bekend remspoor in een diagram? | Gebruik de grafiek waarin het verband een rechte lijn is en bepaal de snelheid door het remspoor af te lezen. |
| 63              | Wat is het verschil tussen "bereken" en "bepaal" in examenvragen? | "Bereken" vereist een volledige rekenstap, terwijl "bepaal" vaak een grafische of tabelmatige afleiding kan zijn zonder uitgebreide berekening. |
| 64              | Hoe kun je de eenheid van een constante afleiden? | Gebruik de formule waarin de constante voorkomt en leid de eenheid af door de eenheden van andere grootheden in de formule te combineren. |
| 65              | Wat is het doel van interpoleren en extrapoleren in een grafiek? | Interpoleren is het schatten van waarden binnen het bereik van de data, terwijl extrapoleren het schatten van waarden buiten dit bereik betreft. |
| 66              | Wat is het verschil tussen de meetonzekerheid bij voltmeter I en voltmeter II? | Voltmeter I heeft een meetonzekerheid van 0,5 V (full scale), terwijl voltmeter II een meetonzekerheid van 1% van de afgelezen waarde heeft. |
| 67              | Hoe bereken je de meetonzekerheid bij gebruik van voltmeter II als de meetwaarde 10 V is? | De meetonzekerheid is 1% van 10 V, wat 0,1 V is. |
| 68              | Welke voltmeter moet je kiezen om de meetonzekerheid zo klein mogelijk te houden bij een meetwaarde van 10 V? | Kies voltmeter II, omdat de meetonzekerheid bij voltmeter I 0,5 V is, wat groter is dan de 0,1 V bij voltmeter II. |
| 69              | Bij welke spanning is de meetonzekerheid bij beide voltmeters gelijk? | De meetonzekerheid van voltmeter II wordt gelijk aan 0,5 V wanneer de meetwaarde 50 V is. |
| 70              | Hoe bereken je de omtrek van een meetwiel met een diameter van 50 cm? | De omtrek is de diameter vermenigvuldigd met π, wat 1,57 meter is (omgerekend van cm naar meter). |
| 71              | Hoe bepaal je de snelheid van het geluid in lucht met behulp van Wende's resultaten? | Gebruik de tijdsverschillen en afstanden in de metingen van Wende om de snelheid van geluid te berekenen. |
| 72              | Hoe toon je aan dat Nick op 300 m van de heistelling staat als hij de klap en het vallen van het heiblok tegelijk hoort? | Vergelijk de tijden van het horen van de klap en het zien van het vallen met de afstanden van Nick en Wende. |
| 73              | Hoe bepaal je met de grafieklijn van Wende de tijd tussen twee opeenvolgende slagen van het blok op de heipaal? | Lees de tijd tussen opeenvolgende klappen af van de grafieklijn van Wende. |
| 74              | Wat is de betekenis van significante cijfers bij metingen? | Het aantal significante cijfers geeft de nauwkeurigheid van de meting aan, inclusief cijfers die een mate van onzekerheid in de meting weergeven. |
| 75              | Hoe bepaal je de eenheid van een constante in een formule? | Gebruik de eenheden van andere grootheden in de formule om de eenheid van de constante af te leiden. |
| 76              | Wat is het verschil tussen een kwadratisch en een wortelverband? | Bij een kwadratisch verband is de grafiek een kromme lijn die de waarde in het kwadraat neemt, terwijl bij een wortelverband de grafiek een rechte lijn is bij het nemen van de wortel van de waarde. |
| 77              | Hoe zet je een kromme grafieklijn om in een rechte lijn voor een kwadratisch evenredig verband? | Pas de waarde op de horizontale as aan door deze in het kwadraat te nemen (x²). |
| 78              | Wat is een omgekeerd kwadratisch evenredig verband? | Een verband waarbij de grafiek een kromme lijn is, en de waarde op de horizontale as omgezet wordt naar 1/x² om een rechte lijn te krijgen. |
| 79              | Wat betekent interpoleren in een diagram? | Interpoleren is het schatten van waarden binnen het bereik van de gegeven meetpunten in een diagram. |
| 80              | Wat is het doel van extrapoleren in een diagram? | Extrapoleren is het schatten van waarden buiten het bereik van de gegeven meetpunten in een diagram. |
| 81              | Hoe bepaal je de evenredigheidsconstante uit een rechte lijn in een diagram? | Lees de waarde van de helling van de lijn af in het diagram. |

* Hd2
** Hd2.txt

| #  |Vraag                                                                                                                                                    | Antwoord                                                                                                                                                                              |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1 |  Hoe kun je een beweging vastleggen?                                                                                                                      | Door het maken van een plaats-tijddiagram, videometen, stroboscopische foto’s, of het gebruik van een ultrasone plaatssensor.                                                             |
| 2 |  Wat is het verschil tussen verplaatsing en afgelegde weg?                                                                                                | Verplaatsing is het verschil tussen de begin- en eindplaats en kan positief of negatief zijn, terwijl de afgelegde weg altijd positief is en de totale afstand die is afgelegd weergeeft. |
| 3 |  Hoe bepaal je de verplaatsing tussen het balkon en het hoogste punt van een bal?                                                                         | Door het verschil te berekenen tussen de hoogte van het balkon en het hoogste punt van de bal.                                                                                            |
| 4 |  Wat is de afgelegde weg van de bal van het balkon tot de grond?                                                                                          | De afgelegde weg is de som van de hoogte van het balkon tot het hoogste punt van de bal en de afstand van het hoogste punt naar de grond.                                                 |
| 5 |  Hoe bereken je de gemiddelde snelheid van een object met een lichtpoortje?                                                                               | Door de lengte van het object te delen door de tijd dat de sensor geen licht ontvangt.                                                                                                    |
| 6 |  Hoe werkt een ultrasone plaatssensor?                                                                                                                    | De sensor zendt een puls uit, meet de tijd die de puls nodig heeft om terug te keren, en berekent de afstand op basis van de tijd en de snelheid van het geluid.                          |
| 7 |  Wat geeft een stroboscopische foto weer?                                                                                                                 | Een stroboscopische foto toont de beweging van een object door meerdere momentenopnames van het object over elkaar te leggen.                                                             |
| 8 |  Hoe kun je de snelheid van een auto bepalen met een stroboscopische foto?                                                                                | Door te kijken naar de tijdsintervallen tussen de flitsen en de afstand die de auto heeft afgelegd tussen de flitsen.                                                                     |
| 9 |  Wat is het effect van een hogere watertemperatuur op de diepte met een ultrasone plaatssensor?                                                           | De diepte berekend bij hogere temperaturen is kleiner dan de werkelijke diepte, omdat de snelheid van ultrasoon geluid in warmer water hoger is.                                          |
| 10 |  Hoe bepaal je de minimale werkafstand van een ultrasone plaatssensor?                                                                                   | Door te kijken naar de afstand waarop de sensor nog betrouwbaar werkt en de afstand waar de sensor geen registratie heeft.                                                                |
| 11 |  Wat moet je aanpassen als je de stroboscopische foto zo wilt instellen dat de auto na een bepaald aantal omwentelingen van het wiel op de foto komt?    | Het aantal flitsen per seconde moet worden aangepast, afhankelijk van hoe snel het wiel draait.                                                                                           |
| 12 |  Hoe wordt trajectcontrole gebruikt om de snelheid van een voertuig te meten?                                                                            | Door de tijd te meten tussen twee camera's op een traject en de afstand tussen deze camera's te gebruiken om de gemiddelde snelheid te berekenen.                                         |
| 13 |  Wat is een constante snelheid in een diagram?                                                                                                           | Dit betekent dat de snelheid op elk moment gelijk is aan de gemiddelde snelheid, wat zichtbaar is als een rechte lijn in een plaats-tijddiagram.                                          |
| 14 | Wat geeft de steilheid van de lijn in een x-t diagram weer bij een eenparige beweging?                                                                       | De snelheid van de auto.                                                                                                                                                                  |
| 15 | Hoe bepaal je de snelheid uit een x-t diagram?                                                                                                               | Door de steilheid van de grafieklijn te meten met twee punten.                                                                                                                            |
| 16 | Wat is de eenheid van de oppervlakte onder de grafiek in een v-t diagram?                                                                                    | m² (vierkante meters).                                                                                                                                                                    |
| 17 | Hoe bereken je de gemiddelde snelheid van Usain Bolt als hij 100 m in 9,58 s loopt?                                                                          | 10,44 m/s of 37,5 km/h.                                                                                                                                                                   |
| 18 | Hoe kun je aan een x-t diagram zien dat de beweging van een scooter geen eenparige beweging is?                                                              | Door te kijken naar een niet-rechthoekige grafieklijn.                                                                                                                                    |
| 19 | Wat is de betekenis van een horizontale lijn in een v-t diagram?                                                                                             | De snelheid is constant.                                                                                                                                                                  |
| 20 | Wat gebeurt er met de snelheid van een auto tijdens het remmen?                                                                                              | De snelheid neemt af.                                                                                                                                                                     |
| 21 | Hoe bereken je de versnelling in een v-t diagram?                                                                                                            | Door de steilheid van de grafieklijn te meten.                                                                                                                                            |
| 22 | Wat is de eenheid van versnelling?                                                                                                                           | m/s² (meter per seconde kwadraat).                                                                                                                                                        |
| 23 | Hoe bepaal je de snelheid op een bepaald tijdstip met de raaklijnmethode?                                                                                    | Door de steilheid van de raaklijn aan de grafiek op dat tijdstip te meten.                                                                                                                |
| 24 | Hoe bereken je de verplaatsing in een v-t diagram met de oppervlakte methode?                                                                                | Door de oppervlakte onder de grafieklijn te berekenen.                                                                                                                                    |
| 25 | Hoe ziet de grafiek eruit bij een eenparig versnelde beweging?                                                                                               | Een parabool (kwadratische kromme).                                                                                                                                                       |
| 26 | Wat betekent het als de snelheid op een v-t diagram niet constant is?                                                                                        | Er is sprake van versnelling of vertraging.                                                                                                                                               |
| 27 | Wat is het effect van luchtweerstand op de snelheid van een object in een vrije val?                                                                         | Het vertraagt de snelheid, maar dit effect kan worden genegeerd in een vacuüm.                                                                                                            |
| 28 | Hoe bereken je de minimale gemiddelde snelheid die nodig is om op tijd op school te komen?                                                                   | Door de afstand en tijd te delen.                                                                                                                                                         |
| 29 | Wat is het verschil tussen een eenparige en een eenparig versnelde beweging in een x-t diagram?                                                              | Een eenparige beweging heeft een rechte lijn, een eenparig versnelde beweging heeft een kromme lijn.                                                                                      |
| 30 | Hoe bepaal je de gemiddelde snelheid met de snijlijnmethode?                                                                                                 | Door de steilheid van de lijn die door twee punten op de grafiek loopt te meten.                                                                                                          |
| 31 |  Hoe beschrijf je de beweging van de lift die van de onderste naar de bovenste verdieping gaat?                                                           | De beweging van de lift is eenparig versneld naar boven en eenparig vertraagd naar beneden.                                                                                               |
| 32 |  Hoeveel verdiepingen gaat de lift omhoog tussen t en ts?                                                                                                 | Twee verdiepingen.                                                                                                                                                                        |
| 33 |  Hoe toon je aan dat de beginsnelheid van het ijsje 0 m/s is?                                                                                             | De beginsnelheid van het ijsje is 0 m/s als het ijsje vanaf stilstand valt.                                                                                                               |
| 34 |  Toon aan dat de snelheid waarmee het ijsje de grond raakt gelijk is aan 5 m/s.                                                                           | De snelheid bij de grond is gelijk aan de snelheid die je berekent met behulp van de tijd en versnelling.                                                                                 |
| 35 |  Maakte het ijsje een vrije val? Licht je antwoord toe.                                                                                                   | Ja, omdat het alleen onder invloed van de zwaartekracht viel zonder initiële snelheid.                                                                                                    |
| 36 |  Hoe leg je uit dat de trein pas stopt als de deuren sluiten?                                                                                             | De trein moet afremmen totdat de snelheid 0 is, wat pas gebeurt als de deuren gesloten zijn.                                                                                              |
| 37 |  Bepaal de versnelling van Joris gedurende de eerste twee seconden.                                                                                       | De versnelling kan worden bepaald door de verandering in snelheid te delen door de tijd.                                                                                                  |
| 38 |  Waarom begint de snelheid van de sprinter niet meteen te verhogen?                                                                                       | De sprinter begint met een versnelling vanaf een lagere snelheid voordat de maximale snelheid wordt bereikt.                                                                              |
| 39 |  Hoe toon je aan dat de auto na het remmen een snelheid van 60 km/h bereikt?                                                                              | Je toont dit aan door te berekenen hoe de snelheid verandert door de vertraging en initiële snelheid.                                                                                     |
| 40 |  Bereken de afstand die de auto aflegt tijdens het remmen.                                                                                               | De afstand kan worden berekend met de remvertraging en de initiële snelheid.                                                                                                              |
| 41 |  Hoe bepaal je de minimale remvertraging om te voorkomen dat je geflitst wordt?                                                                          | Je berekent de benodigde remvertraging door de snelheid te verlagen tot onder de maximumsnelheid binnen de gegeven afstand.                                                               |
| 42 |  Hoe verandert de snelheid van de sprintster tijdens de sprint?                                                                                          | De snelheid neemt toe totdat de maximale snelheid is bereikt.                                                                                                                             |
| 43 |  Bepaal de gemiddelde snelheid van de sprintster tussen tijdstip s en t.                                                                                 | De gemiddelde snelheid is het verschil in positie gedeeld door de tijdsduur.                                                                                                              |
| 44 |  Hoe bepaal je de versnelling met de raaklijnmethode?                                                                                                    | Je tekent een raaklijn aan het v-diagram op het betreffende tijdstip en bepaalt de steilheid.                                                                                             |
| 45 |  Hoe bepaal je de gemiddelde snelheid met de snijlijnmethode?                                                                                            | De gemiddelde snelheid wordt berekend door de steilheid van de rechte lijn die tussen twee punten op de grafiek wordt getrokken.                                                          |
| 46 |  Hoe bepaal je de verplaatsing uit een snelheid-tijddiagram?                                                                                             | De verplaatsing wordt berekend door de oppervlakte onder de snelheid-tijd grafiek te berekenen.                                                                                           |
| 47 |  Hoe bepaal je de versnelling op een bepaald tijdstip met behulp van een snelheid-tijddiagram?                                                           | Je tekent een raaklijn aan de snelheid-tijd grafiek op het betreffende tijdstip en bepaalt de steilheid van de raaklijn.                                                                  |
| 48 |  Hoe bepaal je de versnelling als de grafiek horizontaal is?                                                                                             | De versnelling is 0 m/s² omdat de snelheid constant is.                                                                                                                                   |
| 49 |  Hoe bepaal je welke diagrammen bij bepaalde situaties horen?                                                                                            | Door te kijken naar de kenmerken van de beweging zoals versnelling, snelheid en constante snelheid in de grafieken.                                                                       |
| 50 |  Hoe bepaal je de gemiddelde versnelling tussen twee tijdstippen?                                                                                        | Door de verandering in snelheid te delen door de tijdsduur tussen de twee tijdstippen.                                                                                                    |
| 51 | Wat bepaalt de steilheid van een raaklijn in een v-t-diagram?                                                                                                | De steilheid van de raaklijn in een v-t-diagram geeft de versnelling op dat tijdstip aan.                                                                                                 |
| 52 | Hoe bepaal je de lengte van een startbaan in een v-t-diagram?                                                                                                | Door de oppervlakte onder de grafiek te berekenen.                                                                                                                                        |
| 53 | Wat geeft de steilheid van een lijn in een v-t-diagram aan?                                                                                                  | De gemiddelde versnelling tussen de twee tijdstippen die de lijn verbindt.                                                                                                                |
| 54 | Wat betekent een horizontale lijn in een v-t-diagram?                                                                                                        | Een horizontale lijn betekent dat de snelheid constant is en de versnelling nul is, dus de beweging is eenparig.                                                                          |
| 55 | Wat betekent een schuine lijn in een v-t-diagram?                                                                                                            | Een schuine lijn betekent dat de versnelling constant is; de beweging is eenparig versneld of vertraagd.                                                                                  |
| 56 | Hoe bepaal je de verplaatsing uit een v-t-diagram?                                                                                                           | Door de oppervlakte onder de v-t-grafiek te berekenen.                                                                                                                                    |
| 57 | Wat moet je doen om de versnelling op een specifiek tijdstip te bepalen in een v-t-diagram?                                                                  | Teken een raaklijn op dat tijdstip en bepaal de steilheid van de lijn.                                                                                                                    |
| 58 | Hoe bereken je de afstand die een auto aflegt bij afremmen, met reactietijd?                                                                                 | Door de afstand te berekenen met behulp van de oppervlakte onder het v-t-diagram.                                                                                                         |
| 59 | Hoe bepaal je de snelheid van een auto voordat deze afremt?                                                                                                  | Door de snelheid af te lezen van het v-t-diagram op het moment dat de auto begint te remmen.                                                                                              |
| 60 | Wat is de relatie tussen de remweg, snelheid en remvertraging?                                                                                               | De remweg hangt af van de snelheid en de remvertraging; een hogere snelheid of een lagere remvertraging leidt tot een langere remweg.                                                     |
| 61 | Hoe kun je de hoogte bepalen van een val bij een vrije val met een v-t-diagram?                                                                              | Door de snelheid en de tijd te gebruiken om de hoogte te berekenen met behulp van de oppervlakte onder de v-t-grafiek.                                                                    |
| 62 | Wat toont een numeriek model aan bij het simuleren van bewegingen?                                                                                           | Een numeriek model verdeelt de beweging in tijdstappen en berekent de snelheid en verplaatsing per tijdstap.                                                                              |
| 63 | Hoe werkt de numerieke rekenmethode bij het beschrijven van bewegingen?                                                                                      | De tijd wordt verdeeld in kleine stappen, waarbij snelheid en verplaatsing per stap worden berekend en geüpdatet.                                                                         |
| 64 | Hoe beïnvloedt een kleinere stapgrootte de nauwkeurigheid van een numeriek model?                                                                            | Een kleinere stapgrootte verhoogt de nauwkeurigheid van het model omdat de beweging beter wordt benaderd.                                                                                 |
| 65 | Wat is een tekstmodel in de context van numerieke rekenmethoden?                                                                                             | Een tekstmodel beschrijft de modelregels en startwaarden in tekstvorm voor het berekenen van bewegingen.                                                                                  |
| 66 | Wat is de rol van een iteratief proces in een numeriek model?                                                                                                | Een iteratief proces herhaalt berekeningen in elke stap om de nieuwe waarden van plaats en snelheid te bepalen.                                                                           |
| 67 | Wat is een hulpvariabele?                                                                                                                                    | Een hulpvariabele is een grootheid die wordt berekend met behulp van een formule.                                                                                                         |
| 68 | Wat is een constante?                                                                                                                                        | Een constante is een grootheid waarvan de waarde tijdens het proces constant blijft.                                                                                                      |
| 69 | Wat doet een relatiepijl in een grafisch model?                                                                                                              | Een relatiepijl koppelt grootheden aan elkaar, waarbij de grootheid aan het eind van de pijl afhangt van de grootheid waarvandaan de pijl vertrekt.                                       |
| 70 | Wat is een toestandsvariabele?                                                                                                                               | Een toestandsvariabele is de grootheid die de verandering van de toestandsvariabele bepaalt.                                                                                              |
| 71 | Wat is de relatie tussen snelheid en plaats in een eenparige beweging?                                                                                       | De plaats wordt berekend met de snelheid; er is een relatiepijl van de snelheid naar de plaats.                                                                                           |
| 72 | Hoe wordt de snelheid bij een eenparig versnelde beweging berekend?                                                                                          | De snelheid verandert op basis van de versnelling; de versnelling is constant.                                                                                                            |
| 73 | Wat is een startwaarde in een grafisch model?                                                                                                                | De startwaarde is de waarde die een grootheid heeft op het moment dat deze wordt gedefinieerd in het model.                                                                               |
| 74 | Hoe stel je een stopconditie in voor een model in Coach?                                                                                                     | Je stelt een stopconditie in door een voorwaarde in te voeren waarop het programma stopt met rekenen.                                                                                     |
| 75 | Wat is het effect van een kleinere stapgrootte op de nauwkeurigheid van een model?                                                                           | Een kleinere stapgrootte verhoogt de nauwkeurigheid van het model, maar vereist meer rekentijd en een krachtige computer.                                                                 |
| 76 | Hoe bepaal je de stopconditie voor een model van een auto die afremt?                                                                                        | De stopconditie is de snelheid; het programma stopt als de snelheid nul is.                                                                                                               |
| 77 | Wat is de relatie tussen de hoogte en snelheid bij een vrije val?                                                                                            | De snelheid wordt negatief omdat de versnelling (valversnelling) negatief is, en de hoogte neemt af.                                                                                      |
| 78 | Wat zijn de startwaarden bij een model van een vrije val?                                                                                                    | Startwaarden zijn de hoogte (m) en de beginsnelheid (0 m/s), met een negatieve versnelling.                                                                                               |
| 79 | Hoe teken je een h-diagram met Coach voor een vrije val?                                                                                                     | Het h-diagram wordt getekend met een model dat stopt als de hoogte nul is.                                                                                                                |
| 80 | Waarom heeft het x-t diagram van een remmende trein een maximum?                                                                                             | Het x-t diagram heeft een maximum omdat de trein afremt en uiteindelijk stopt.                                                                                                            |
| 81 | Wat is de stopconditie voor een model van een bal die verticaal omhoog wordt gegooid?                                                                        | De stopconditie is dat de snelheid nul is, omdat het model stopt op het hoogste punt.                                                                                                     |
| 82 | Wat is de impact van een verkeerde tijdstap op een model?                                                                                                    | Een te grote tijdstap kan resulteren in onnauwkeurige resultaten, zoals een te grote afwijking in de hoogte of snelheid.                                                                  |
| 83 | Wat is de gemiddelde snelheid?                                                                                                                               | De gemiddelde snelheid is de totale verplaatsing gedeeld door de totale tijd.                                                                                                             |
