#+TITLE: NATUURKUNDE VWO: DEFINITIES
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1

| **Term**                        | **Definitie**                                                                                                   |
| **Temperatuurschaal**          | Een schaal die wordt gebruikt om temperaturen te meten en te vergelijken, zoals de Celsius- of Kelvin-schaal. |
| **Warmtetransport**            | Het proces van overdracht van warmte van een warmere naar een koelere omgeving.                             |
| **Warmtegeleiding**            | Het proces waarbij warmte wordt overgedragen door middel van direct contact tussen deeltjes.                |
| **Warmtestromen**              | De beweging van warmte door een materiaal of medium, vaak van een warmere naar een koelere regio.            |
| **Warmtestraling**             | De overdracht van warmte door middel van elektromagnetische golven, zonder direct contact tussen de bron en het object. |
| **Warmtestroom**               | De hoeveelheid warmte die per tijdseenheid door een materiaal of medium passeert.                          |
| **Thermische geleidbaarheid**  | De mate waarin een materiaal warmte kan geleiden, gemeten in watts per meter per graad Celsius.              |
| **Joulemeter**                 | Een apparaat dat wordt gebruikt om de hoeveelheid warmte of energie die wordt overgedragen te meten, vaak in joules. |
| **Soortelijke warmte**         | De hoeveelheid warmte die nodig is om de temperatuur van een bepaalde massa van een stof met één graad Celsius te verhogen. |
| **Dichtheid**                  | De massa per volume-eenheid van een stof.                                                                     |
| **Smeltwarmte**                | De hoeveelheid warmte die nodig is om een stof van de vaste naar de vloeibare fase te smelten, ook wel latente warmte van smelten genoemd. |
| **Verdampingswarmte**          | De hoeveelheid warmte die nodig is om een stof van de vloeibare naar de gasvormige fase te verdampen, ook wel latente verdampingswarmte genoemd. |
| **Algemene gaswet**            | Een wet die de relatie beschrijft tussen druk, volume en temperatuur van een gas, zoals de wet van Boyle, Charles en Gay-Lussac. |
| **Druk**                       | De kracht per oppervlakte-eenheid die wordt uitgeoefend op een oppervlak.                                    |
| **Druk van een gas**           | De kracht die wordt uitgeoefend door de gasmoleculen op de wanden van de container.                           |
| **Ideaal gas**                 | Een hypothetisch gas waarvan het gedrag perfect overeenkomt met de algemene gaswet onder alle omstandigheden. |
| **Reëel gas**                  | Een gas waarvan het gedrag afwijkt van dat van een ideaal gas onder bepaalde omstandigheden.                 |
| **Verband druk-volume bij gas**| De relatie tussen de druk en het volume van een gas, zoals beschreven door de wet van Boyle.                 |
| **Verband druk-temperatuur bij gas** | De relatie tussen de druk en de temperatuur van een gas, zoals beschreven door de wet van Gay-Lussac.       |
| **Kringproces**                | Een proces waarbij een systeem een reeks veranderingen ondergaat en uiteindelijk terugkeert naar zijn oorspronkelijke toestand. |
| **Afstand tussen moleculen**   | De gemiddelde afstand tussen de individuele moleculen in een materiaal.                                      |
| **Lineaire uitzetting**        | De toename in lengte van een materiaal als gevolg van een temperatuurstijging, gemeten langs een enkele dimensie. |
| **Kubieke uitzetting**         | De toename in volume van een materiaal als gevolg van een temperatuurstijging, gemeten in alle drie dimensies. |
| **Rek**                        | De mate van vervorming of uitrekking van een materiaal onder invloed van een externe kracht.                 |
| **Spanning**                   | De kracht per oppervlakte-eenheid die wordt uitgeoefend op een materiaal.                                    |
| **Spanning-rek diagram**       | Een grafiek die de relatie tussen de spanning en de mate van vervorming of rek van een materiaal weergeeft.  |



* Hd5



| **Term**                          | **Definitie**                                                                                                      |
|-----------------------------------|------------------------------------------------------------------------------------------------------------------|
| **Elektrische stroom**            | De beweging van elektrisch geladen deeltjes, zoals elektronen, door een geleidend materiaal.                      |
| **Elektrische spanning**          | Het potentiaalverschil tussen twee punten in een elektrisch circuit, dat de drijvende kracht is achter de beweging van elektrische ladingen. |
| **Lading**                        | De eigenschap van deeltjes die verantwoordelijk is voor elektrische interacties, gemeten in coulombs.             |
| **Materie**                       | Alle stoffen waaruit de fysieke wereld bestaat, inclusief atomen, moleculen en deeltjes.                          |
| **Stroom**                        | De beweging van materie, zoals elektronen, door een bepaald gebied.                                               |
| **Energie**                       | De capaciteit om arbeid te verrichten of warmte te produceren.                                                     |
| **Spanningsstroom**               | De stroom die optreedt wanneer er een potentiaalverschil is tussen twee punten in een geleider.                    |
| **Weerstand**                     | De eigenschap van een materiaal om de doorgang van elektrische stroom te belemmeren.                              |
| **Geleidbaarheid**               | De mate waarin een materiaal elektrische stroom kan geleiden.                                                      |
| **Weerstand van materiaal**        | De mate waarin een materiaal de doorgang van elektrische stroom belemmert, gemeten in ohm.                        |
| **Wet van Ohm**                   | Een natuurwet die stelt dat de stroom door een geleider recht evenredig is met de spanning over de geleider, bij constante temperatuur. |
| **Schakelingen analyseren**       | Het proces van het bestuderen en begrijpen van elektrische circuits om hun werking te begrijpen.                   |
| **Stroomwet van Kirchhoff**        | Een natuurwet die stelt dat de som van de stromen die een knooppunt binnenkomen gelijk is aan de som van de stromen die het knooppunt verlaten. |
| **Spanningswet van Kirchhoff**     | Een natuurwet die stelt dat de algebraïsche som van de spanningsveranderingen in een gesloten lus van een elektrische schakeling nul is. |
| **Parallelschakeling**            | Een elektrische schakeling waarbij de componenten parallel zijn verbonden, waardoor de spanning over elk component gelijk blijft. |
| **Serieschakeling**               | Een elektrische schakeling waarbij de componenten in serie zijn verbonden, waardoor de stroom door elk component gelijk blijft. |
| **Gemengde schakelingen**         | Elektrische schakelingen die zowel parallelle als serieschakelingen bevatten, wat resulteert in complexere circuits. |
| **Elektrische componenten**       | Apparaten die worden gebruikt in elektrische circuits om elektrische energie om te zetten of te regelen, zoals weerstanden, diodes en LED's. |
| **Regelbare weerstand**           | Een weerstand waarvan de weerstandswaarde kan worden aangepast.                                                   |
| **NTC-weerstand**                 | Een weerstand waarvan de weerstand afneemt met toenemende temperatuur, bekend als een negatieve temperatuurcoëfficiënt weerstand. |
| **Diode**                         | Een halfgeleiderapparaat dat elektrische stroom slechts in één richting doorlaat.                                |
| **LED**                           | Een lichtgevende diode die licht produceert wanneer er elektrische stroom doorheen gaat.                         |
| **Thermostaat**                   | Een apparaat dat wordt gebruikt om de temperatuur te regelen door elektrische stroom aan of uit te schakelen bij bepaalde temperatuurniveaus. |
| **Vermogen**                      | De snelheid waarmee arbeid wordt verricht of energie wordt overgedragen, gemeten in watt.                         |
| **Rendement**                     | De verhouding tussen de bruikbare output van een apparaat, zoals energie of arbeid, en de input, meestal uitgedrukt als een percentage. |
| **Bedrading**                     | De fysieke verbindingen tussen elektrische componenten in een circuit.                                            |
| **Stopcontact**                   | Een elektrische aansluiting waarin stekkers worden gestoken om elektrische apparaten op een stroombron aan te sluiten. |
| **Aarding**                       | Een veiligheidsvoorziening die elektrische apparaten verbindt met de aarde om elektrische schokken te voorkomen.  |
| **Kortsluiting**                  | Een onbedoelde verbinding tussen de geleiders in een elektrisch circuit, wat kan leiden tot overbelasting of schade aan apparaten. |
| **Zekeringen**                    | Beschermende apparaten die ontworpen zijn om te smelten en de stroomtoevoer naar een circuit te onderbreken wanneer de stroomsterkte een bepaalde waarde overschrijdt. |
| **Aardlekschakelaar**             | Een veiligheidsvoorziening die elektrische stroom uitschakelt wanneer er lekstroom naar de aarde optreedt, wat kan duiden op een elektrisch defect of gevaar. |



* Hd7



| **Term**                          | **Definitie**                                                                                                      |
|-----------------------------------|------------------------------------------------------------------------------------------------------------------|
| **Eenparige cirkelbeweging**       | Beweging waarbij een object met constante snelheid een cirkelvormig pad volgt.                                   |
| **Omlooptijd**                    | De tijd die nodig is voor een object om één volledige omwenteling of cirkelbeweging uit te voeren.                |
| **Baansnelheid**                  | De snelheid waarmee een object zich beweegt langs zijn baan, gerelateerd aan de omloopsnelheid in een cirkelbeweging. |
| **Frequentie**                    | Het aantal herhalingen van een gebeurtenis per eenheid van tijd, zoals het aantal omwentelingen per seconde in een cirkelbeweging. |
| **Kracht bij eenparige cirkelbeweging** | De kracht die nodig is om een object in een cirkelvormige baan te houden, bekend als de middelpuntzoekende kracht. |
| **Middelpuntzoekende kracht**      | De kracht die naar het middelpunt van een cirkelvormige baan wijst en nodig is om een object in die baan te houden. |
| **Gravitatiekracht**              | De aantrekkingskracht tussen twee objecten als gevolg van hun massa, zoals de aantrekkingskracht tussen de aarde en een voorwerp op het aardoppervlak. |
| **Gravitatiewet van Newton**       | De natuurwet die stelt dat de gravitatiekracht tussen twee objecten recht evenredig is met de producten van hun massa's en omgekeerd evenredig is met het kwadraat van de afstand tussen hun zwaartepunten. |
| **Valversnelling**                | De versnelling waarmee een voorwerp in vrije val versnelt als gevolg van de zwaartekracht op het oppervlak van een hemellichaam. |
| **Beweging van planeten**          | De orbitale beweging van hemellichamen rond een centrale ster, zoals de aarde die om de zon draait.              |
| **Geostationaire satelliet**       | Een kunstmatige satelliet die zich in een geostationaire baan bevindt, waarbij de baanperiode gelijk is aan de rotatieperiode van de aarde, waardoor de satelliet stationair lijkt te blijven boven een bepaald punt op het aardoppervlak. |
| **Polaire satelliet**              | Een kunstmatige satelliet die in een baan rond de aarde beweegt die over de polen gaat, wat resulteert in een dekkingsgebied over de gehele aarde. |
| **Banen van satellieten**          | De paden die kunstmatige satellieten volgen rond een hemellichaam, zoals de aarde, inclusief geostationaire, polaire en andere baanconfiguraties. |



* Hd8



| **Term**                           | **Definitie**                                                                                                      |
|------------------------------------|------------------------------------------------------------------------------------------------------------------|
| **Arbeid**                         | De maat voor de overdracht van energie die plaatsvindt wanneer een kracht een object verplaatst over een bepaalde afstand. |
| **Krachten**                       | Fysieke interacties die de beweging of de vorm van een object veranderen.                                        |
| **Arbeid verricht door een kracht**| De hoeveelheid energie die wordt overgedragen wanneer een kracht een object verplaatst over een bepaalde afstand. |
| **Arbeid langs een kromme baan**   | De totale hoeveelheid arbeid die wordt verricht door een kracht wanneer een object langs een niet-rechte weg wordt verplaatst. |
| **Kinetische energie**             | De energie die een object heeft vanwege zijn beweging.                                                            |
| **Arbeid en verandering van snelheid** | De relatie tussen de arbeid verricht door een kracht en de verandering van snelheid van een object, zoals beschreven door de wet van arbeid en kinetische energie. |
| **Wet van arbeid en kinetische energie** | Een natuurwet die stelt dat de arbeid verricht door een resulterende kracht gelijk is aan de verandering in kinetische energie van een object. |
| **Vermogen**                       | De snelheid waarmee energie wordt overgedragen of omgezet, gemeten als de hoeveelheid arbeid per tijdseenheid.    |
| **Energievormen**                  | Verschillende vormen waarin energie kan voorkomen, zoals potentiele energie, kinetische energie, zwaarte energie, veerenergie, warmte en chemische energie. |
| **Potentiele energie**             | De energie die een object heeft vanwege zijn positie of configuratie, zoals gravitatie-energie of veerenergie.    |
| **Zwaarte energie**                | De potentiele energie die een object heeft als gevolg van zijn positie ten opzichte van een zwaartepunt of een referentiepunt in een zwaartekrachtveld. |
| **Veerenergie**                    | De potentiele energie die wordt opgeslagen in een veer wanneer deze wordt samengedrukt of uitgerekt.              |
| **Warmte**                         | Een vorm van energie die wordt overgedragen als gevolg van temperatuurverschillen tussen objecten.                |
| **Chemische energie**              | De energie die is opgeslagen in de chemische bindingen van moleculen en die kan worden vrijgegeven tijdens chemische reacties. |
| **Wet van behoud van energie**     | Een natuurwet die stelt dat de totale energie in een gesloten systeem constant blijft, waarbij energie niet kan worden gecreëerd of vernietigd, alleen omgezet van de ene vorm naar de andere. |
| **Energiebalans**                  | Een overzicht van de totale energie binnen een systeem, inclusief alle vormen van energie en hun interconversies. |
| **Gravitatieenergie**              | De potentiele energie die een object heeft als gevolg van zijn positie in een zwaartekrachtveld, zoals de energie die wordt geassocieerd met een voorwerp dat zich boven het aardoppervlak bevindt. |
| **Nulpunt van energie**            | Een referentiepunt waarbij de potentiele energie van een object als nul wordt beschouwd, vaak gekozen als een handige referentie voor berekeningen. |
| **Ontsnappingssnelheid**           | De minimale snelheid die een object moet hebben om te ontsnappen aan het gravitatieveld van een hemellichaam, zoals de aarde. |



* Hd9



| **Term**                         | **Definitie**                                                                                                      |
|----------------------------------|------------------------------------------------------------------------------------------------------------------|
| **Trillingen**                   | Periodieke bewegingen van een object rond een evenwichtspunt.                                                     |
| **Periodieke beweging**          | Een beweging die zich herhaalt in een regelmatig patroon na een bepaalde tijdsperiode.                            |
| **Trilling**                     | Een periodieke beweging rond een evenwichtspositie, gekenmerkt door een herhaaldelijke verplaatsing van het object heen en weer. |
| **Amplitude**                    | De maximale uitwijking of verplaatsing van een trillend object vanuit zijn evenwichtspositie.                     |
| **Fase**                         | De positie van een trillend object binnen zijn trillingscyclus op een specifiek moment in de tijd.                 |
| **Gereduceerde fase**            | De fase van een trillende massa na een bepaalde tijd, uitgedrukt als een fractie van een complete trillingscyclus. |
| **Oscilloscoop**                 | Een instrument dat wordt gebruikt om elektrische signalen grafisch weer te geven, waaronder trillingspatronen.    |
| **Harmonische trilling**         | Een trilling waarbij de verplaatsing van het object recht evenredig is met de kracht die erop wordt uitgeoefend, zoals bij een veer. |
| **Krachten bij trilling**        | De krachten die optreden op een object tijdens trillingen, zoals de veerkracht en de wrijvingskracht.             |
| **Massa-veer-systeem**           | Een systeem bestaande uit een massa die aan een veer is bevestigd, dat vaak wordt gebruikt om harmonische trillingen te bestuderen. |
| **Faseverschil**                 | Het tijdsverschil of de hoek tussen de fasen van twee trillende objecten.                                         |
| **Trillingsenergie**             | De energie geassocieerd met de beweging van een object tijdens trillingen, inclusief kinetische en potentiële energie. |
| **Energieomzetting bij trilling** | Het proces waarbij energie wordt omgezet tussen kinetische en potentiële energie tijdens een trilling.            |
| **Resonantie**                   | Het fenomeen waarbij een object wordt gedwongen om te trillen met een specifieke frequentie wanneer het wordt blootgesteld aan een externe trillingsbron met dezelfde frequentie. |
| **Lopende golven**               | Golven waarvan de energie en de beweging zich voortplanten door een medium, zoals geluidsgolven en watergolven.   |
| **Golven**                       | Verplaatsing van energie door een medium, gekenmerkt door periodieke veranderingen in amplitude.                  |
| **Transversale golf**            | Een golf waarbij deeltjes van het medium loodrecht op de richting van golfbeweging bewegen, zoals een lichtgolf.   |
| **Longitudinale golf**           | Een golf waarbij deeltjes van het medium parallel bewegen met de richting van golfbeweging, zoals geluidsgolven.   |
| **Golflengte**                   | De afstand tussen twee opeenvolgende punten in een golf die een identieke fase hebben, zoals van top tot top.     |
| **Golfsnelheid**                 | De snelheid waarmee een golf zich door een medium verplaatst, bepaald door de golflengte en de frequentie.       |
| **Trillingstijd**                | De tijd die nodig is voor een trillend object om één complete cyclus van beweging uit te voeren.                  |
| **Uitwijking-tijd diagram**      | Een grafische weergave die de uitwijking of verplaatsing van een trillend object in de tijd illustreert.           |
| **Geluid**                       | Een vorm van energieoverdracht door trillingen van deeltjes in een medium, waargenomen door het menselijk gehoor. |
| **Info overdracht**              | Het proces van overbrengen van informatie door geluidsgolven, vaak gebruikt in communicatie.                      |
| **Geluidsbronnen**               | Objecten of processen die geluid produceren, zoals stemmen, muziekinstrumenten en machines.                      |
| **Voortplanting van geluid**      | Het proces waarbij geluidsgolven zich door een medium verspreiden, zoals lucht, water of vaste stoffen.          |
| **Interferentie geluidsgolven**   | Het verschijnsel waarbij geluidsgolven elkaar ontmoeten en interfereren, resulterend in versterking of verzwakking van geluidsintensiteit. |
| **Knoplijn**                     | De punten op een staande golf waar de uitwijking minimaal is.                                                    |
| **Buiklijn**                     | De punten op een staande golf waar de uitwijking maximaal is.                                                    |
| **Muziekinstrumenten**           | Apparaten die geluid produceren door trillingen, zoals snaar-, blaas- en slaginstrumenten.                        |
| **Snaarinstrument**              | Een muziekinstrument dat geluid produceert door trillingen van een of meer snaren, zoals een gitaar of een viool. |
| **Toonvorming in snaar**         | Het proces waarbij trillingen van een snaar een specifieke toonhoogte produceren, afhankelijk van factoren zoals lengte, spanning en massa van de snaar. |
| **Blaasinstrumenten**            | Muziekinstrumenten die geluid produceren door luchttrillingen, zoals fluiten, klarinetten en trompetten.          |
| **Toonvorming in buis gesloten** | Het proces waarbij trillingen van een luchtzuil in een gesloten buis resulteren in een specifieke toonhoogte, afhankelijk van de lengte van de buis. |
| **Toonvorming in buis open**     | Het proces waarbij trillingen van een luchtzuil in een open buis resulteren in een specifieke toonhoogte, afhankelijk van de lengte van de buis. |



* Hd10



| **Term**                         | **Definitie**                                                                                                      |
|----------------------------------|------------------------------------------------------------------------------------------------------------------|
| **Elektrische lading**           | Een fundamentele eigenschap van deeltjes die aangeeft hoe ze interageren via elektromagnetische krachten.         |
| **Ladingen kracht**              | De kracht die optreedt tussen twee elektrisch geladen deeltjes als gevolg van elektrostatische interacties.        |
| **Wet van Coulomb**              | Een natuurkundige wet die de kracht beschrijft tussen twee elektrische ladingen, waarbij de kracht evenredig is met het product van de ladingen en omgekeerd evenredig met het kwadraat van de afstand tussen hen. |
| **Elektrisch veld**              | Een gebied rond geladen deeltjes waarin een elektrische kracht wordt uitgeoefend op andere ladingen.              |
| **Veldlijnen**                   | Imaginaire lijnen die de richting en sterkte van een elektrisch of magnetisch veld aangeven.                      |
| **Radiaal homogeen veld**        | Een elektrisch veld waarvan de krachtlijnen evenwijdig en gelijkmatig verdeeld zijn vanuit een centraal punt.    |
| **Elektrische energie**          | De energie die wordt geassocieerd met elektrische ladingen als gevolg van hun positie in een elektrisch veld.      |
| **Potentiële energie**           | De energie die een object heeft vanwege zijn positie of configuratie in een veld, zoals elektrisch of zwaartekracht.|
| **Kinetische energie**           | De energie die een object heeft als gevolg van zijn beweging.                                                      |
| **Röntgenbuis**                  | Een apparaat dat wordt gebruikt om röntgenstralen te produceren voor medische beeldvorming en industriële toepassingen. |
| **Lineaire versneller**          | Een apparaat dat geladen deeltjes versnelt in een rechte lijn voor gebruik in deeltjesfysica-experimenten.        |
| **Elektromotor**                 | Een apparaat dat elektrische energie omzet in mechanische energie door de interactie tussen een magnetisch veld en elektrische stromen. |
| **Elektromagnetisme**            | Het gebied van de natuurkunde dat zich bezighoudt met de interactie tussen elektrische stromen en magnetische velden. |
| **Magnetisch veld**              | Een veld dat ontstaat rond een magneet of een stroomvoerende geleider en dat een magnetische kracht uitoefent op andere magneten of stroomvoerende geleiders. |
| **Magnetische inductie**         | Het fenomeen waarbij een veranderend magnetisch veld een elektrische stroom opwekt in een nabijgelegen geleider.  |
| **Magnetisch spoel**             | Een spoel van geleidend materiaal dat wordt gebruikt om een magnetisch veld te genereren of magnetische inductie op te wekken. |
| **Elektromagneet**               | Een tijdelijke magneet die wordt geproduceerd door een stroom door een spoel te laten lopen, waardoor een magnetisch veld wordt gegenereerd. |
| **Aardmagnetisch veld**          | Het magnetische veld dat wordt geproduceerd door de beweging van gesmolten ijzer in de buitenkern van de aarde.   |
| **Lorentzkracht**               | De kracht die wordt uitgeoefend op een geladen deeltje dat zich beweegt door een magnetisch veld en een elektrisch veld. |
| **Middelpuntzoekende kracht**    | De kracht die een object naar het middelpunt van een cirkelvormige baan trekt wanneer het in een cirkelvormige beweging verkeert. |
| **Noorderlicht**                 | Een natuurlijk fenomeen waarbij gekleurde lichten in de lucht verschijnen in de buurt van de magnetische polen van de aarde als gevolg van interacties tussen zonnewind en het aardmagnetisch veld. |
| **Zuiderlicht**                  | Zie noorderlicht.                                                                                                 |
| **Kracht op spoel**              | De kracht die wordt uitgeoefend op een spoel die zich in een magnetisch veld bevindt en waar een stroom doorheen gaat. |
