#+TITLE: NATUURKUNDE HAVO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt
|#| Vraag                                                                                                   | Antwoord                   |
| 36 | Wat is het verschil tussen toevallige en systematische fouten?             | Toevallige fouten zijn onvoorspelbaar en willekeurig, systematische fouten zijn consistent en te herleiden. |
| 37 | Hoe bepaal je het aantal significante cijfers bij optellen?                | Het resultaat heeft zoveel cijfers achter de komma als de meetwaarde met de minste cijfers achter de komma. |
| 38 | Hoe reken je de oppervlakte uit bij een meting met significante cijfers?   | Gebruik het aantal significante cijfers van de meetwaarde met de minste significante cijfers. |
| 39 | Wat is de eenheid van soortelijke warmte?                                  | J/(kg·K)                                                |
| 40 | Hoe bereken je de veerkracht van een veer?                                 | Vermenigvuldig de veerconstante met de uitrekking.     |
| 41 | Hoe reken je een massa uitgedrukt in kg om naar g?                         | Vermenigvuldig met 1000.                               |
| 42 | Wat is het effect van meetonzekerheid op de nauwkeurigheid van een meting? | Het kan de precisie beïnvloeden door een bandbreedte aan mogelijke waarden. |
| 43 | Hoe noteer je een gemeten waarde met onzekerheid?                          | Noteer de waarde met de geschatte meetonzekerheid.      |
| 44 |  Wat moet je doen bij het omrekenen van een eenheid naar wetenschappelijke notatie?              | Noteer de uitkomst in wetenschappelijke notatie met het juiste aantal significante cijfers.              |
| 45 |  Hoe bereken je het volume van een blok hout als de massa gegeven is en het volume cm³ moet zijn? | Laat zien dat het volume gelijk is aan cm³ door berekeningen uit te voeren.                              |
| 46 |  Hoe bereken je de dichtheid van hout in kg/m³?                                                 | Deel de massa (in kg) door het volume (in m³).                                                           |
| 47 |  Wat moet je doen als je een tabel op de juiste manier wilt opstellen?                          | Zorg voor een duidelijke kop, een logische volgorde in kolommen, en zorg ervoor dat cijfers op dezelfde wijze worden weergegeven. |
| 48 |  Wat is belangrijk bij het tekenen van een diagram op basis van meetwaarden?                     | Zorg voor een juiste schaalverdeling, label de assen met grootheden en eenheden, en teken een vloeiende lijn door de meetpunten. |
| 49 |  Wat is interpoleren?                                                                           | Het bepalen van een tussenliggende waarde door de grafieklijn te gebruiken.                              |
| 50 |  Wat is extrapoleren?                                                                           | Het bepalen van een waarde buiten de gemeten waarden door de grafieklijn te verlengen.                    |
| 51 |  Wat geeft een lineair verband aan in een grafiek?                                               | Een rechte lijn door de grafiek waarbij de formule y = ax + b geldt.                                    |
| 52 |  Wat is de natuurkundige betekenis van de constante a in een lineair verband?                    | De constante a is de evenredigheidsconstante, oftewel de dichtheid van de stof.                           |
| 53 |  Hoe bepaal je de evenredigheidsconstante uit een grafiek?                                      | Kies twee punten op de grafieklijn en bereken de waarde van a door de verhouding van y over x te nemen.  |
| 54 |  Hoe herken je een recht evenredig verband in een grafiek?                                     | De grafiek is een rechte lijn die door de oorsprong gaat.                                                |
| 55 |  Wat is een kwadratisch evenredig verband?                                                     | Het verband waarbij de grafiek een parabool vormt, oftewel s = a t².                                     |
| 56 |  Hoe bepaal je de constante a in een kwadratisch verband?                                       | Gebruik de grafieklijn om de constante a te bepalen door de verhouding tussen s en t² te berekenen.       |
| 57 |  Hoe moet je de resultaten in een grafiek bij een ohmse weerstand interpreteren?                 | De grafiek moet een rechte lijn door de oorsprong zijn.                                                  |
| 58 |  Hoe bepaal je de weerstand bij een bepaalde diameter grafisch?                                | Extrapoleer de grafieklijn in het diagram om de weerstand te vinden bij de gegeven diameter.              |
| 59 |  Wat moet je doen bij het afleiden van een verband uit een diagram?                             | Vergelijk de x- en y-waarden van twee punten om het type verband te bepalen (kwadratisch, omgekeerd etc.). |
| 60 |  Wat moet je doen bij het beantwoorden van een examenvraag met werkwoorden zoals 'bereken'?      | Voer een berekening uit met de gegevens die worden verstrekt en geef de uitkomst met de benodigde stappen. |


* Hd2
** Hd2.txt
|#| Vraag                                                                                                 | Antwoord                                  |
|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------|
| 1 | Hoe kun je de beweging van een voorwerp vastleggen?                                                      | Met een plats-tijd diagram, videometen, stroboscopische foto, of een ultrasone plaatssensor. |
| 2 | Wat wordt weergegeven in een plats-tijd diagram?                                                          | De afstand (plaats) van een voorwerp op verschillende tijdstippen. |
| 3 | Hoe bereken je de verplaatsing tussen twee punten?                                                         | Verplaatsing is het verschil tussen de plaats aan het begin en het einde. |
| 4 | Wat is het verschil tussen afgelegde weg en verplaatsing?                                                   | Afgelegde weg is altijd positief en is de totale afstand die is afgelegd. Verplaatsing kan zowel positief als negatief zijn en is het verschil tussen de begin- en eindplaats. |
| 5 | Hoe kun je verplaatsing bepalen met videometen?                                                             | Door het aantal beelden en de werkelijke grootte van het voorwerp te gebruiken, kan de verplaatsing worden berekend. |
| 6 | Wat is de functie van een ultrasone plaatssensor?                                                           | Het meten van de afstand tot een voorwerp door de tijd te meten die een ultrasone puls nodig heeft om terug te keren. |
| 7 | Hoe bepaal je de gemiddelde snelheid met een lichtpoortje?                                                 | Door de lengte van het voorwerp en de gemeten tijd te gebruiken. |
| 8 | Hoe zie je in een stroboscopische foto dat een wiel draait?                                                 | Door te kijken naar de positie van de spaken op de foto en het aantal beelden tussen flitsen. |
| 9 | Wat is het voordeel van het gebruik van een ultrasone plaatssensor op een helling?                          | Het kan de afstand tot het voorwerp meten zonder fysiek contact. |
| 10 | Hoe bepaal je de snelheid van een auto met behulp van het aantal pieken op een piekenpatroon?                  | Door de afstand tussen de kabels en het tijdstip van drukverandering te gebruiken om de snelheid te berekenen. |
| 11 | Wat maakt gebruik van twee camera's om de snelheid te meten? | Trajectcontrole |
| 12 | Hoe wordt de snelheid van een auto bij constante snelheid weergegeven in diagrammen? | Als een rechte lijn in een snelheid-tijddiagram. |
| 13 | Wat is een eenparige beweging? | Beweging langs een rechte lijn met constante snelheid. |
| 14 | Hoe bepaal je de snelheid in een snelheid-tijddiagram? | Door de steilheid van de grafiek te bepalen. |
| 15 | Wat is de oppervlakte onder de grafiek in een snelheid-tijddiagram gelijk aan? | De verplaatsing van de auto. |
| 16 | Wat is de eenheid van oppervlakte in een snelheid-tijddiagram? | Meter. |
| 17 | Hoe bereken je de gemiddelde snelheid over een afstand met trajectcontrole? | Door de afstand en tijd te meten en vervolgens de snelheid te berekenen. |
| 18 | Wat is de formule voor de verplaatsing bij een eenparige beweging? | s = v  t |
| 19 | Hoe kun je de snelheid bepalen met de raaklijnmethode? | Door de steilheid van de raaklijn op een bepaald tijdstip te berekenen. |
| 20 | Wat is versnelling? | De verandering van snelheid per tijdseenheid. |
| 21 | Wat is de eenheid van versnelling? | Meter per seconde kwadraat (m/s²). |
| 22 | Hoe bepaal je de versnelling uit een snelheid-tijddiagram? | Door de steilheid van de grafiek te bepalen. |
| 23 | Wat is vrije val? | Een eenparig versnelde beweging waarbij de versnelling constant is. |
| 24 | Hoe noem je de versnelling tijdens een vrije val? | Valversnelling of gravitatieversnelling. |
| 25 | Hoe bepaal je de verplaatsing bij een eenparig versnelde beweging? | Door de oppervlakte onder de grafiek in een snelheid-tijddiagram te berekenen. |
| 26 | Wat is de versnelling van een auto die afremt? | Een negatieve versnelling (vertraging). |
| 27 | Hoe wordt een vertraagde beweging vaak genoemd? | Versnelde beweging met een negatieve versnelling. |
| 28 | Hoe bereken je de verplaatsing met de oppervlakte-methode in een v-t diagram? | Door de oppervlakte van de grafiek onder de lijn te berekenen. |
| 29 | Wat moet je doen als je met de snijlijnmethode de gemiddelde snelheid wilt berekenen? | Verbind de twee punten op de grafiek en bepaal de steilheid van de lijn. |
| 30 |  Hoe bepaal je de hoogte waarop een vuurpijl is afgeschoten aan de hand van een hoogtetijddiagram? | Door het tijdstip te vinden waarop de hoogte op het diagram gelijk is aan de hoogte van afschieten.                            |
| 31 |  Hoe toon je aan dat de gemiddelde snelheid van de auto van Andy in de eerste vier seconden gelijk is aan een bepaalde waarde? | Door het gemiddelde van de snelheid over de eerste vier seconden te berekenen en te vergelijken met de gegeven waarde.          |
| 32 |  Hoe zie je in een x-diagram dat een paard van draf overgaat in galop?                      | Het x-diagram toont een verandering in de steilheid van de lijn, wat een verandering in snelheid betekent.                     |
| 33 |  Hoe beschrijf je de beweging van een lift in een v-diagram?                               | De beweging kan eenparig, eenparig versneld, of eenparig vertraagd zijn, afhankelijk van de grafiek.                           |
| 34 |  Hoe toon je aan dat de beginsnelheid van een ijsje dat uit een reuzenrad valt 0 m/s is?     | Door de snelheid op het moment van vallen (begin van de beweging) te controleren in het tijd-diagram en te zien dat deze 0 m/s is.|
| 35 |  Hoe bepaal je de afstand die een object aflegt op basis van een v-diagram?                  | Door de oppervlakte onder de snelheidstijdlijn te berekenen.                                                                  |
| 36 |  Hoe bepaal je de versnelling op een specifiek tijdstip met een v-diagram?                    | Door een raaklijn te tekenen aan de v-diagram op dat specifieke tijdstip en de steilheid van de raaklijn te meten.             |
| 37 |  Wat laat een constante steilheid in een v-diagram zien?                                     | Het geeft aan dat de versnelling constant is.                                                                                 |
| 38 |  Hoe lees je de gemiddelde snelheid af in een x-diagram?                                     | Door het verschil in positie over de tijd te delen door het tijdsinterval.                                                     |
| 39 |  Hoe bepaal je de versnelling in een v-diagram waar de snelheid toeneemt?                   | Door de verandering in snelheid te delen door de tijdsduur waarin deze verandering plaatsvond.                                |
| 40 | Wat is de betekenis van een horizontale lijn in een snelheid-tijd diagram?                           | De snelheid is constant en de versnelling is 0. De beweging is eenparig.                             |
| 41 | Wat betekent een schuine lijn in een snelheid-tijd diagram?                                         | De versnelling is constant en de beweging is eenparig versneld of vertraagd.                        |
| 42 | Hoe bepaal je de snelheid op een bepaald tijdstip in een snelheid-tijd diagram?                      | Door de steilheid van de raaklijn op dat tijdstip te bepalen.                                          |
| 43 | Hoe bepaal je de gemiddelde snelheid tussen twee tijdstippen op een snelheid-tijd diagram?         | Door de steilheid van de lijn die door twee punten wordt getrokken te berekenen.                     |
| 44 | Wat geeft de oppervlakte onder een snelheid-tijd diagram aan?                                        | De verplaatsing tussen twee tijdstippen.                                                             |
| 45 | Hoe bepaal je de verplaatsing als de grafiek een kromme is?                                           | Door de gemiddelde snelheid te schatten en de verplaatsing te berekenen met s = v *  t.               |
| 46 | Wat toont een eenparig versnelde beweging op een snelheid-tijd diagram?                            | Een schuine rechte lijn.                                                                             |
| 47 | Hoe bepaal je de afstand die een auto aflegt als deze afremt, met een snelheid-tijd diagram?         | Door de oppervlakte onder de grafiek te berekenen tussen het begin en eind van de afremming.         |
| 48 | Wat betekent een horizontale lijn in een snelheid-tijd diagram met betrekking tot versnelling?       | De versnelling is 0, de snelheid is constant.                                                         |
| 49 | Hoe kun je de versnelling op een bepaald tijdstip in een snelheid-tijd diagram bepalen?              | Door de steilheid van de raaklijn op dat tijdstip te bepalen.                                          |
| 50 | Wat is het gevolg van een grotere reactietijd op de stopafstand van een voertuig?                    | De stopafstand wordt groter.                                                                          |
| 51 | Hoe bepaal je de minimale lengte van een startbaan met behulp van een snelheid-tijd diagram?         | Door de oppervlakte onder de snelheid-tijd grafiek te berekenen tot het punt waarop de gewenste snelheid is bereikt. |
| 52 | Wat toont de snelheid-tijd diagram van een auto die afremt?                                           | Een horizontale lijn voor constante snelheid en een schuine lijn voor afremmen.                      |
| 53 | Hoe bereken je de gemiddelde snelheid tijdens een fietstocht op een snelheid-tijd diagram?           | Door de oppervlakte onder de snelheid-tijd grafiek te delen door de tijd.                             |
| 54 | Hoe bepaal je de snelheid op een bepaald tijdstip in een snelheid-tijd diagram?                      | Door de steilheid van de raaklijn op dat tijdstip te berekenen.                                        |
| 55 | Wat laat de oppervlakte onder een snelheid-tijd grafiek zien bij een constante versnelling?           | De totale verplaatsing.                                                                             |
| 56 | Hoe wordt een eenparige beweging weergegeven in een snelheid-tijd diagram?                           | Als een horizontale lijn.                                                                            |
| 57 | Hoe bepaal je de snelheid op een bepaald tijdstip uit een snelheid-tijd diagram?                     | Door de steilheid van de raaklijn aan de grafieklijn te bepalen.                                       |
| 58 | Hoe bepaal je de gemiddelde snelheid tussen twee tijdstippen uit een x-diagram?                     | Door de steilheid van de lijn die door twee punten wordt getrokken te berekenen.                     |
| 59 | Hoe bereken je de verplaatsing tussen twee tijdstippen uit een v-diagram?                           | Door de oppervlakte onder de grafieklijn in het v-diagram tussen die twee tijdstippen te berekenen. |
| 60 | Hoe bepaal je de gemiddelde versnelling uit een x-diagram?                                           | Door de steilheid van de lijn die door twee punten van de grafiek wordt getrokken te berekenen.     |
| 61 | Hoe bepaal je de versnelling op een bepaald tijdstip uit een v-diagram?                             | Door de steilheid van de raaklijn aan de grafieklijn op dat tijdstip te bepalen.                      |
| 62 | Hoe bepaal je de gemiddelde versnelling tussen twee tijdstippen uit een v-diagram?                  | Door de steilheid van de lijn door twee punten van de grafiek te berekenen.                          |
| 63 | Hoe schat je de gemiddelde snelheid tussen twee tijdstippen uit een willekeurig diagram?            | Door de oppervlakte onder de grafieklijn tussen de twee tijdstippen te schatten.                     |
| 64 | Hoe bepaal je de snelheid op een tijdstip uit een willekeurig diagram?                              | Door de steilheid van de raaklijn op dat tijdstip te bepalen.                                          |
| 65 | Hoe bereken je de verplaatsing tussen twee tijdstippen uit een willekeurig diagram?                 | Door de oppervlakte onder de grafieklijn tussen die twee tijdstippen te berekenen.                   |
| 66 | Hoe analyseer je bewegingen met formules en diagrammen?                                             | Door formules te gebruiken om snelheid, versnelling en verplaatsing te berekenen en diagrammen te gebruiken om visuele informatie over deze grootheden te verkrijgen. |



* Hd3
** Hd3.txt
|#| Vraag                                                                                           | Antwoord                                                                                   |
|-----------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|
| 1 | Wat kun je bepalen met behulp van een snelheids- en versnellingsdiagram?                           | De gemiddelde snelheid en versnelling tussen twee tijdstippen.                               |
| 2 | Hoe kun je de verplaatsing tussen twee tijdstippen bepalen?                                        | Met de oppervlaktemethode.                                                                     |
| 3 | Hoe bepaal je de versnelling op een specifiek tijdstip?                                             | Met de raaklijnmethode.                                                                       |
| 4 | Hoe bepaal je de gemiddelde versnelling tussen twee tijdstippen?                                   | Met de snijlijnmethode.                                                                       |
| 5 | Wat zijn de drie eigenschappen van een kracht?                                                     | Grootte, richting en aangrijpingspunt.                                                       |
| 6 | Hoe wordt de grootte van een kracht weergegeven op een diagram?                                     | Door de lengte van een pijl.                                                                   |
| 7 | Wat is de eenheid van kracht?                                                                       | Newton (N).                                                                                   |
| 8 | Wat is een vector?                                                                                  | Een grootheid met zowel een grootte als een richting.                                        |
| 9 | Wat is het aangrijpingspunt van een kracht?                                                         | De plaats waar de kracht op een voorwerp werkt.                                               |
| 10 | Wat is zwaartekracht en hoe wordt deze berekend?                                                    | Zwaartekracht is de aantrekkingskracht van de aarde op een voorwerp. Het wordt berekend met F = m  g. |
| 11 | Wat is de normaalkracht?                                                                           | De kracht die een ondersteunend vlak uitoefent op een voorwerp.                              |
| 12 | Hoe verschilt de normaalkracht op een helling van die op een horizontaal vlak?                      | De normaalkracht is kleiner op een helling dan op een horizontaal vlak.                       |
| 13 | Wat is spankracht?                                                                                 | De kracht die door een gespannen touw op een voorwerp wordt uitgeoefend.                       |
| 14 | Wat is veerkracht en hoe verandert deze met de uitrekking van een veer?                            | Veerkracht is recht evenredig met de uitrekking van de veer.                                  |
| 15 | Hoe bepaal je de veerconstante van een veer?                                                        | Door de veerkracht te delen door de uitrekking.                                               |
| 16 | Wat is schuifwrijvingskracht?                                                                       | De kracht die werkt tegen de beweging van twee oppervlakken die langs elkaar schuiven.        |
| 17 | Wat is rolweerstandskracht?                                                                         | De kracht die een rollend voorwerp tegenwerkt, afhankelijk van de vervormbaarheid van de contactoppervlakken. |
| 18 | Wat is luchtweerstandskracht?                                                                       | De kracht die een voorwerp ondervindt als het door de lucht beweegt, afhankelijk van de vorm en snelheid. |
| 19 | Wat is de normaalkracht op een blok? | De normaalkracht is de kracht die het blok tegenhoudt en even groot is als de zwaartekracht als het blok op een horizontaal vlak ligt. |
| 20 | Hoe moet de trekkracht van Mylo gericht zijn om de schuifwrijvingskracht te bepalen? | De trekkracht moet evenwijdig aan de tafel zijn. |
| 21 | Wat is de maximale schuifwrijvingskracht bij een plexiglas tafelblad? | Dit is gelijk aan de waarde die afgelezen wordt op de krachtmeter wanneer de kubus net begint te schuiven. |
| 22 | Wat gebeurt er met de maximale schuifwrijvingskracht op een stalen tafelblad vergeleken met plexiglas? | De maximale schuifwrijvingskracht op een stalen tafelblad is groter dan op plexiglas. |
| 23 | Wat kun je doen om de maximale schuifwrijvingskracht te vergroten? | De maximale schuifwrijvingskracht kan worden vergroot door het blok harder tegen de tafel te duwen. |
| 24 | Hoe zie je dat een racket kracht uitoefent op een tennisbal? | Je ziet dit doordat de bal vervormd wordt en een versnelling ondergaat. |
| 25 | Wat is de zwaartekracht die de aarde uitoefent op een tennisbal van 60 gram? | De zwaartekracht is gelijk aan de massa van de bal vermenigvuldigd met de zwaartekrachtversnelling op aarde. |
| 26 | Hoeveel kleiner is de zwaartekracht op de maan vergeleken met die op aarde? | De zwaartekracht op de maan is ongeveer zes keer kleiner dan op aarde. |
| 27 | Waarom komt een tennisbal verder op de maan dan op aarde? | Omdat de luchtweerstand op de maan ontbreekt en de zwaartekracht lager is, waardoor de bal verder vliegt. |
| 28 | Hoe teken je de krachten op een blokje met een massa van 100 gram dat aan een veer hangt? | Teken de veerkracht omhoog en de zwaartekracht omlaag, beide van gelijke grootte als ze in evenwicht zijn. |
| 29 | Hoe bepaal je de veerconstante van een veer? | De veerconstante kan worden berekend door de kracht te delen door de uitrekking van de veer. |
| 30 | Zet de krachtmeters in volgorde van oplopende veerconstante. | Begin met de krachtmeter met de minste uitrekking bij een gegeven kracht en eindig met de krachtmeter met de grootste uitrekking. |
| 31 | Hoe groot is de kracht die twee honden samen uitoefenen als ze in verschillende richtingen trekken? | Dit hangt af van de richting en grootte van de krachten. Als de krachten in dezelfde richting zijn, tel je ze bij elkaar op; als ze in tegengestelde richtingen zijn, trek je ze van elkaar af. |
| 32 | Hoe bepaal je de resulterende kracht als twee krachten in dezelfde richting werken? | Tel de krachten bij elkaar op. |
| 33 | Hoe bepaal je de resulterende kracht als twee krachten in tegengestelde richtingen werken? | Trek de krachten van elkaar af. |
| 34 | Hoe bepaal je de resulterende kracht als twee krachten een hoek met elkaar maken? | Gebruik de parallellogrammethode om de grootte en richting van de resulterende kracht te vinden. |
| 35 | Hoe teken je de krachten bij het samenstellen van krachten met een hoek? | Teken de krachten op schaal en gebruik de parallellogrammethode om de resulterende kracht te construeren. |
| 36 | Hoe bepaal je de grootte van de resulterende kracht bij krachten met een hoek tussen hen? | Gebruik een krachtenschaal en meet de lengtes van de pijlen in de getekende figuur. |
| 37 | Hoe gebruik je de omgekeerde parallellogrammethode? | Teken de werklijnen van de krachten en gebruik streeplijnen om de krachten te construeren vanuit het aangrijpingspunt. |
| 38 | Hoe ontbind je de zwaartekracht op een helling in componenten? | Teken de zwaartekracht in twee componenten: één parallel aan de helling en één loodrecht op de helling. |
| 39 | Hoe bepaal je of een koffer niet naar beneden glijdt op een helling? | Vergelijk de maximale schuifwrijvingskracht met de component van de zwaartekracht parallel aan de helling. |
| 40 | Wat is de krachtenschaal van een tekening als de kracht een lengte van cm heeft en de gemeten kracht N is? | De krachtenschaal is N per cm. |
| 41 | Hoe ontbind je een kracht \( F \) in twee componenten? | Teken de werklijnen van de componenten op een schaaltekening en meet hun lengtes. |
| 42 | Wat moet je doen om de verticale component van de trapkracht van KlaasJan te controleren? | Ontbind de trapkracht in verticale en horizontale componenten en vergelijk de verticale component met N. |
| 43 | Waarom komt de bal niet los van de grond als de verticale component van de trapkracht kleiner is dan N? | Omdat de verticale component van de trapkracht onvoldoende is om de zwaartekracht te overwinnen. |
| 44 | Wat gebeurt er met de horizontale component van de trapkracht als de verticale component groter is dan N volgens Frans? | De horizontale component zou kleiner moeten zijn, maar dit klopt niet altijd. |
| 45 | Hoe teken je de werklijnen van spankrachten als twee honden aan een riem trekken? | Teken de werklijnen van elke spankracht vanuit het aangrijpingspunt van de riemen. |
| 46 | Hoe bepaal je de grootte van de spankrachten als de riemen een hoek maken met de resulterende kracht? | Construeer de spankrachten op een schaaltekening en meet hun lengtes. |
| 47 | Hoe bereken je de grootte van de zwaartekracht op een helling? | Teken de zwaartekracht als een pijl en ontbind deze in componenten evenwijdig en loodrecht op de helling. |
| 48 | Wat is de grootte van de component van de zwaartekracht die de hardloper tegenwerkt op een steile straat? | Meet de component op een schaaltekening. |
| 49 | Waarom kan asfalt op een steile helling wegglijden terwijl beton dat niet doet? | Omdat de wrijvingskracht tussen asfalt en ondergrond lager is dan bij beton. |
| 50 | Hoe teken je de spankrachten van een zeilboot gesleept door een motorboot? | Construeer de spankrachten en bepaal hun grootte door het meten van de lengtes van de pijlen op een schaaltekening. |
| 51 | Wat is het verband tussen de grootte van de spankrachten en de hoek tussen de werklijnen? | Als de hoek verandert, veranderen de spankrachten in het sleeptouw. |
| 52 | Hoe teken je de krachten die op een schommel met een kind werken? | Teken de krachten op een schaaltekening en zorg dat de krachten in evenwicht zijn. |
| 53 | Hoe bepaal je de kracht die de zus uitoefent op een schommel? | Construeer de krachten op een schaaltekening en zorg dat ze in evenwicht zijn met de resulterende kracht. |
| 54 | Hoe bepaal je de grootte van de derde kracht als twee krachten in evenwicht zijn? | Construeer de derde kracht op een schaaltekening zodat deze de twee andere krachten in evenwicht houdt. |
| 55 | Hoe teken je de krachten bij de bergbeklimster met de methode van de schommel? | Teken de krachten en ontbind ze in componenten om het evenwicht te controleren. |
| 56 | Hoe gebruik je de methode van de bergbeklimster bij een schommelprobleem? | Begin met het tekenen van de krachten, dan ontbind je de resulterende kracht in componenten. |
| 57 | Hoe bepaal je de kracht die Charlotte uitoefent als Albert en Bianca met een kracht van N trekken? | Construeer de kracht die Charlotte uitoefent op een schaaltekening en meet de grootte. |
| 58 | Hoe bepaal je de grootte van de spankrachten in de touwtjes van Arja's draadraam? | Teken de krachten en gebruik de tekening om de spankrachten te meten. |
| 59 | Wat is de massa van de schijfmagneten en welke krachten werken op hen? | De massa van elke schijfmagnet is gram. Ze ervaren een afstotende magnetische kracht en een andere kracht. |
| 60 | Wat is de grootte van de derde kracht in een situatie met twee krachten in evenwicht? | Construeer de derde kracht op een schaaltekening om de grootte te bepalen. |
| 61 | Noem de krachten die op de plank met Tom werken. | De krachten zijn de zwaartekracht, de veerkrachten van de veren, en de normale kracht van de plank. |
| 62 | Toon aan dat de kracht die een veer uitoefent op de plank gelijk is aan N. | De uitrekking van de veer kan worden berekend met de krachtenschaal en de krachten zijn in evenwicht. |
| 63 | Hoeveel is de verticale component van de veerkracht gelijk aan? | De verticale component is gelijk aan de kracht die de veer uitoefent op de plank, die gelijk is aan N. |
| 64 | Bereken de massa van Tom. | De massa van Tom kan worden berekend door de totale kracht te delen door de zwaartekracht. |
| 65 | Welke krachten werken op Jeri als ze aan haar klimtouw hangt? | De krachten zijn de zwaartekracht en de spankracht van het klimtouw. |
| 66 | Beschrijf de methode om de resulterende kracht van twee krachten te construeren. | Gebruik de parallellogrammethode als de krachten niet dezelfde richting hebben; anders tel de krachten op of trek ze af afhankelijk van hun richting. |
