#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


| Term                        | Definitie                                                                                                   |
| Dradenkamer                         | Een type detectiesysteem dat gebruikmaakt van draden om de paden van geladen deeltjes te registreren.                |
| Drie soorten neutrino's              | De drie bekende soorten neutrino's: elektron-neutrino, muon-neutrino en tau-neutrino.                                |
| Druk                       | De kracht per oppervlakte-eenheid die wordt uitgeoefend op een oppervlak.                                    |
| Druk van een gas           | De kracht die wordt uitgeoefend door de gasmoleculen op de wanden van de container.                           |
| Dubbel spleetexperiment met elektronen | Een experiment waarbij elektronen worden uitgezonden door twee smalle spleten, wat resulteert in een interferentiepatroon dat golfeigenschappen van elektronen aantoont. |
| Duurzaamheid            | De eigenschap van materialen om langdurig te functioneren met minimale invloed op het milieu, vaak gericht op hergebruik, recycling en verminderde afvalproductie. |
| Dynamo                       | Een apparaat dat mechanische energie omzet in elektrische energie door magnetische inductie.                       |
| Echografie                    | Een medische beeldvormingstechniek die geluidsgolven gebruikt om interne structuren van het lichaam in real-time weer te geven. |
| Echografie                    | Een medische beeldvormingstechniek die geluidsgolven gebruikt om afbeeldingen van structuren in het lichaam te produceren. |
| Eenheid                     | Een vastgestelde maat waarmee een grootheid wordt gemeten, zoals meter, kilogram, seconde, kelvin, enzovoort.   |
| Eenheid                            | Een vastgestelde maat waarmee een grootheid wordt gemeten, zoals meter, kilogram, seconde.                           |
| Eenparig rechtlijnige beweging | Een beweging waarbij een object zich met constante snelheid langs een rechte lijn voortbeweegt.                  |
| Eenparig versnelde beweging | Een beweging waarbij de snelheid van een object uniform toeneemt over de tijd.                                     |
| Eenparig rechtlijnige beweging     | Een beweging waarbij een object met constante snelheid langs een rechte lijn beweegt.                   |
| Eenparig versnelde beweging        | Een beweging waarbij de snelheid van een object verandert met een constante snelheid.                   |
| Eenparige cirkelbeweging       | Beweging waarbij een object met constante snelheid een cirkelvormig pad volgt.                                   |
| Eenparige cirkelbeweging           | Een beweging waarbij een object zich met constante snelheid in een cirkelvormig pad voortbeweegt.                |
| Eerste wet van Newton                 | Ook bekend als de wet van de traagheid, stelt dat een object in rust blijft of met constante snelheid beweegt, tenzij er een resulterende kracht op wordt uitgeoefend. |
| Effectieve dosis              | Een maat voor de schadelijkheid van straling voor levend weefsel, rekening houdend met de soort straling en de gevoeligheid van verschillende organen. |
| Eigenschappen van krachten  | Kenmerken die van toepassing zijn op krachten, zoals richting, grootte, punt van toepassing en type kracht.  |
| Electromagnetisch spectrum     | Het volledige scala aan elektromagnetische golflengten, variërend van radiofrequenties tot gammastraling.           |
| Elektriciteitscentrale                  | Een faciliteit die elektrische energie produceert uit verschillende energiebronnen.                                     |
| Elektrisch veld              | Een gebied rond geladen deeltjes waarin een elektrische kracht wordt uitgeoefend op andere ladingen.              |
| Elektrische stroom            | De beweging van elektrisch geladen deeltjes, zoals elektronen, door een geleidend materiaal.                      |
| Elektrische spanning          | Het potentiaalverschil tussen twee punten in een elektrisch circuit, dat de drijvende kracht is achter de beweging van elektrische ladingen. |
| Elektrische componenten       | Apparaten die worden gebruikt in elektrische circuits om elektrische energie om te zetten of te regelen, zoals weerstanden, diodes en LED's. |
| Elektrische lading           | Een fundamentele eigenschap van deeltjes die aangeeft hoe ze interageren via elektromagnetische krachten.         |
| Elektrische energie          | De energie die wordt geassocieerd met elektrische ladingen als gevolg van hun positie in een elektrisch veld.      |
| Elektrische energie                    | Energie die wordt overgedragen door elektrische ladingen in een elektrisch circuit.                                      |
| Elektrische componenten                 | Apparaten die worden gebruikt in elektrische schakelingen voor verschillende doeleinden.                                |
| Elektrochemische cel                    | Een apparaat dat chemische energie omzet in elektrische energie.                                                        |
| Elektromagneet               | Een tijdelijke magneet die wordt geproduceerd door een stroom door een spoel te laten lopen, waardoor een magnetisch veld wordt gegenereerd. |
| Elektromagnetisch spectrum         | Het volledige scala aan elektromagnetische golven, variërend van radiostraling tot gammastraling.                |
| Elektromagnetische inductie  | Het proces waarbij een veranderend magnetisch veld een elektrische stroom opwekt in een nabijgelegen geleider.    |
| Elektromagnetische golven      | Golven die bestaan uit elektrische en magnetische velden die zich door de ruimte voortplanten.               |
| Elektromagnetisme            | Het gebied van de natuurkunde dat zich bezighoudt met de interactie tussen elektrische stromen en magnetische velden. |
| Elektromotor                 | Een apparaat dat elektrische energie omzet in mechanische energie door de interactie tussen een magnetisch veld en elektrische stromen. |
| Elektron in het waterstofatoom    | Een model dat het gedrag van een enkel elektron in een waterstofatoom beschrijft, waarbij orbitale eigenschappen worden bepaald door kwantummechanica. |
| Elektronenmicroscoop               | Een instrument dat gebruikmaakt van elektronen in plaats van fotonen om structuren op nanometerschaal te visualiseren. |
| Elementaire deeltjes generaties     | De verschillende generaties van elementaire deeltjes in het standaardmodel van de deeltjesfysica.                    |
| Elementaire deeltjes                | De fundamentele deeltjes waaruit alle materie is opgebouwd, inclusief quarks, leptonen en bosonen.                   |
| Emissie van licht              | Het proces waarbij energie wordt uitgestraald in de vorm van licht.                                             |
| Emissie spectrum               | Het spectrum van licht dat wordt uitgezonden door een bron.                                                      |
| Emissiespectrum               | Een spectrum van elektromagnetische straling waarbij bepaalde golflengten worden uitgezonden door een bron.         |
| Energie                       | De capaciteit om arbeid te verrichten of warmte te produceren.                                                     |
| Energie                         | De capaciteit van een systeem om werk te verrichten.                                                              |
| Energiebalans                  | Een overzicht van de totale energie binnen een systeem, inclusief alle vormen van energie en hun interconversies. |
| Energiebalans                     | De balans tussen de energie die een systeem binnenkomt en verlaat, volgens de wet van behoud van energie. |
| Energiedichtheid                        | De hoeveelheid energie die per volumeof massa-eenheid wordt opgeslagen in een bepaald materiaal.                         |
| Energieniveaus bij een atoom   | De discrete niveaus van energie waarop elektronen zich kunnen bevinden in een atoom, zoals voorspeld door het kwantummechanische model van Bohr. |
| Energieomzetting bij trilling | Het proces waarbij energie wordt omgezet tussen kinetische en potentiële energie tijdens een trilling.            |
| Energievormen                  | Verschillende vormen waarin energie kan voorkomen, zoals potentiele energie, kinetische energie, zwaarte energie, veerenergie, warmte en chemische energie. |
| Energievormen                    | Verschillende vormen waarin energie kan voorkomen.                                                     |
| Equivalente dosis             | Een maat voor de biologische effecten van straling, aangepast voor verschillende soorten straling en weefsels, gemeten in sievert (Sv). |
| Evolutie van sterren          | Het proces waarbij sterren veranderingen ondergaan in hun levenscyclus, van de vorming tot het einde als witte dwergen, neutronensterren of supernova's. |
| Fase                         | De positie van een trillend object binnen zijn trillingscyclus op een specifiek moment in de tijd.                 |
| Fasen van stof             | De verschillende aggregatietoestanden waarin materie kan voorkomen, zoals vast, vloeibaar en gas.          |
| Fasen van een stof      | De verschillende toestanden waarin een stof kan verkeren, zoals vast, vloeibaar en gasvormig.                        |
| Faseovergangen             | De overgangen tussen de verschillende aggregatietoestanden van materie, zoals smelten, verdampen en condenseren. |
| Faseovergangen          | De veranderingen in de fase van een stof, zoals smelten, verdampen en condenseren.                                    |
| Faseverschil                 | Het tijdsverschil of de hoek tussen de fasen van twee trillende objecten.                                         |
| Flux                         | De hoeveelheid veldlijnen die door een gegeven oppervlak gaan, vaak gebruikt om magnetische of elektrische velden te kwantificeren. |
| Fluxverandering             | De verandering in de hoeveelheid veldlijnen die door een oppervlak gaan, wat resulteert in een geïnduceerde spanning in nabijgelegen geleiders. |
| Formule van Einstein                | De beroemde formule E=mc², die de equivalente relatie tussen energie (E) en massa (m) beschrijft.                  |
| Foto-elektrisch effect             | Het verschijnsel waarbij lichtenergie overdraagt aan elektronen in een materiaal, waardoor ze worden uitgestoten.  |
| Fotonen                       | Elementaire deeltjes die elektromagnetische straling dragen, inclusief licht.                                       |
| Fotonen                        | Deeltjes waaruit licht bestaat, met eigenschappen van zowel golven als deeltjes.                                |
| Frequentie                    | Het aantal herhalingen van een gebeurtenis per eenheid van tijd, zoals het aantal omwentelingen per seconde in een cirkelbeweging. |
| Functionele materialen  | Materialen die specifieke eigenschappen hebben die hen geschikt maken voor bepaalde toepassingen.                    |
| Fysische eigenschappen     | De kenmerken van een stof die kunnen worden waargenomen of gemeten zonder dat er een chemische verandering optreedt. |
| GPS-systeem                     | Een wereldwijd navigatiesysteem dat gebruikmaakt van satellieten om locatie- en tijdinformatie te verstrekken.     |
| Gebeurtenis                     | Een punt in de ruimtetijd met een specifieke positie en tijd.                                                       |
| Geheugenspel                  | Een spel waarin geheugen en cognitieve vaardigheden worden getest.                                               |
| Geiger-Müller teller           | Een instrument dat wordt gebruikt om ioniserende straling te detecteren en te meten, vaak gebruikt in stralingsbewaking en -detectie. |
| Geiger-Müllerteller            | Een instrument dat wordt gebruikt om ioniserende straling te detecteren en te meten, vaak gebruikt voor stralingsmonitoring en -detectie. |
| Gekromde ruimte                 | De vervorming van de ruimte veroorzaakt door massa en energie volgens de algemene relativiteitstheorie.            |
| Geleidbaarheid               | De mate waarin een materiaal elektrische stroom kan geleiden.                                                      |
| Geleidbaarheid                         | De mate waarin een materiaal elektrische stroom kan geleiden.                                                           |
| Gelijktijdigheid                | Het concept van gebeurtenissen die op hetzelfde moment plaatsvinden in een referentiestelsel.                       |
| Geluid                       | Een vorm van energieoverdracht door trillingen van deeltjes in een medium, waargenomen door het menselijk gehoor. |
| Geluid                              | Trillingen die zich door een medium voortplanten en hoorbaar zijn voor mensen.                                      |
| Geluidsbronnen               | Objecten of processen die geluid produceren, zoals stemmen, muziekinstrumenten en machines.                      |
| Geluidsbronnen                      | Objecten of gebeurtenissen die geluid produceren.                                                                  |
| Gemengde schakelingen         | Elektrische schakelingen die zowel parallelle als serieschakelingen bevatten, wat resulteert in complexere circuits. |
| Gemengde schakeling                     | Een complexe schakeling die zowel serieschakelingen als parallelschakelingen bevat.                                     |
| Gemiddelde snelheid         | De totale afstand afgelegd door een object gedeeld door de totale tijdsduur van de beweging.                       |
| Gemiddelde snelheid                | De totale afstand die een object aflegt gedeeld door de totale tijd die het kost om die afstand af te leggen. |
| Geocentrisch                       | Het model waarin de aarde als het centrum van het universum wordt beschouwd.                                      |
| Geostationaire satelliet       | Een kunstmatige satelliet die zich in een geostationaire baan bevindt, waarbij de baanperiode gelijk is aan de rotatieperiode van de aarde, waardoor de satelliet stationair lijkt te blijven boven een bepaald punt op het aardoppervlak. |
| Geostationaire satellieten         | Satellieten die zich op een hoogte bevinden waarbij hun omlooptijd gelijk is aan de draaiperiode van de aarde, waardoor ze op dezelfde positie boven het aardoppervlak lijken te blijven. |
| Gereduceerde fase            | De fase van een trillende massa na een bepaalde tijd, uitgedrukt als een fractie van een complete trillingscyclus. |
| Gewicht                    | De kracht die wordt uitgeoefend op een object als gevolg van de zwaartekracht.                               |
| Gewichtloosheid            | De toestand waarin een object geen netto zwaartekracht ondervindt, zoals in vrije val of in een baan om een hemellichaam. |
| Glasvezelkabel                 | Een transmissiemedium voor lichtsignalen, bestaande uit lange, dunne strengen glas die lichtgeleiding mogelijk maken. |
| Golf-deeltje dualiteit            | Het concept dat de aard van licht en andere deeltjes zowel golfeigenschappen als deeltjeseigenschappen kan omvatten, afhankelijk van de observatiemethode. |
| Golfeigenschappen                | Kenmerken van licht of andere deeltjes die overeenkomen met golfverschijnselen, zoals interferentie en diffractie.   |
| Golflengte                   | De afstand tussen twee opeenvolgende punten in een golf die een identieke fase hebben, zoals van top tot top.     |
| Golflengte                          | De afstand tussen twee opeenvolgende punten met dezelfde fase in een golf.                                         |
| Golfsnelheid                 | De snelheid waarmee een golf zich door een medium verplaatst, bepaald door de golflengte en de frequentie.       |
| Golfsnelheid                        | De snelheid waarmee een golf zich voortplant door een medium.                                                       |
| Golfsuperpositie                    | Het fenomeen waarbij twee of meer golven samenkomen en tijdelijk hun amplitude kunnen versterken of verzwakken.    |
| Golven                       | Verplaatsing van energie door een medium, gekenmerkt door periodieke veranderingen in amplitude.                  |
| Golven                              | Verplaatsingen van energie die zich door een medium of lege ruimte voortplanten.                                    |
| Gravitatieenergie              | De potentiele energie die een object heeft als gevolg van zijn positie in een zwaartekrachtveld, zoals de energie die wordt geassocieerd met een voorwerp dat zich boven het aardoppervlak bevindt. |
| Gravitatiekracht              | De aantrekkingskracht tussen twee objecten als gevolg van hun massa, zoals de aantrekkingskracht tussen de aarde en een voorwerp op het aardoppervlak. |
| Gravitatiekracht                   | De kracht van aantrekking tussen massa's in het universum.                                                         |
| Gravitatiewet van Newton       | De natuurwet die stelt dat de gravitatiekracht tussen twee objecten recht evenredig is met de producten van hun massa's en omgekeerd evenredig is met het kwadraat van de afstand tussen hun zwaartepunten. |
| Gravitatiewet van Newton           | De wet die de zwaartekracht beschrijft als een kracht die twee massa's op elkaar uitoefenen, evenredig met hun massa's en omgekeerd evenredig met het kwadraat van de afstand tussen hen. |
| Grensgolflengte bij foto-elektrisch effect | De golflengte van licht die nodig is om het foto-elektrisch effect te produceren voor een specifiek materiaal.       |
| Grootheid                   | Een fysieke eigenschap of kenmerk dat kan worden gemeten, zoals lengte, massa, tijd, temperatuur, enzovoort.     |
| Grootheid                          | Een eigenschap van een object, fenomeen of systeem die kan worden gemeten, zoals lengte, massa, tijd, temperatuur.   |
| Halveringsdikte               | De dikte van een materiaal die nodig is om de intensiteit van straling met de helft te verminderen.                    |
| Halveringsdikte                | De dikte van een materiaal die nodig is om de intensiteit van een stralingsbundel te halveren.                |
| Halveringstijd                | De tijd die nodig is voor de helft van de radioactieve kernen in een monster om te vervallen tot een stabielere toestand. |
| Halveringstijd                | De tijd die nodig is voor de helft van de atomen in een radioactief monster om te vervallen.                  |
| Harmonische trilling         | Een trilling waarbij de verplaatsing van het object recht evenredig is met de kracht die erop wordt uitgeoefend, zoals bij een veer. |
| Harmonische trilling                | Een type trilling waarbij de versnelling van het object evenredig is met de afstand tot de evenwichtspositie, zoals bij een massaveersysteem. |
| Hefbomen                              | Mechanismen die bestaan uit een stijve stang die rond een vast punt draait, waardoor krachten worden vermenigvuldigd of gereduceerd. |
| Hefboomwet                            | De wet die stelt dat het moment rond een draaipunt gelijk is aan de kracht toegepast op de hefboom vermenigvuldigd met de arm. |
| Heliocentrisch                    | Het model waarin de zon als het centrum van het zonnestelsel wordt beschouwd.                                     |
| Hemellichamen                      | Objecten in de ruimte, zoals planeten, sterren en manen.                                                         |
| Hertzsprung-Russell diagram   | Een diagram dat de relatie toont tussen de helderheid en de temperatuur (kleur) van sterren, vaak gebruikt om de evolutie van sterren te bestuderen. |
| Het molecuulmodel          | Een model dat de opbouw van stoffen beschrijft in termen van individuele moleculen en hun interacties.      |
| Het SI-stelsel                     | Het Internationale Stelsel van Eenheden, een gestandaardiseerd systeem van meeteenheden voor wetenschap en techniek.|
| Het molecuulmodel       | Een model dat de structuur en het gedrag van materie beschrijft op basis van de bewegingen en interacties van individuele moleculen. |
| Higgsboson                          | Een elementair deeltje dat verantwoordelijk wordt geacht voor het geven van massa aan andere deeltjes via het Higgsmechanisme. |
| Ideaal gas                 | Een hypothetisch gas waarvan het gedrag perfect overeenkomt met de algemene gaswet onder alle omstandigheden. |
| Impuls                              | De hoeveelheid beweging van een object, gelijk aan de massa vermenigvuldigd met de snelheid.                        |
| Inductiespanning             | De spanning die wordt opgewekt in een geleider als gevolg van elektromagnetische inductie.                        |
| Info overdracht              | Het proces van overbrengen van informatie door geluidsgolven, vaak gebruikt in communicatie.                      |
| Informatieoverdracht                | Het proces waarbij geluidsgolven gebruikt worden om informatie te verzenden.                                        |
